Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00082;Dell Inspiron 3477 (347i34H1IHD-LBK);;;3 378,98;;8471 30 00 00;Аналогія: (ЦДУ-00096)Lenovo IdeaCentre AIO має код 8471 30 00 00 - обчислювальні машини моноблоки
ЦДУ-01424;EMX-E16E+Eth плата станційна;;;4 568,81;;8517 62 00 00;Класифікація: Мережева плата станційна Ethernet - код 8517 62 00 00 апаратура комутації для телекомунікацій
ЦДУ-01425;EMX-E16S+Eth блок абонентський;;;5 091,59;;8517 62 00 00;Аналогія: (ЦДУ-01424)EMX-E16E+Eth плата має код 8517 62 00 00 - абонентський мережевий блок Ethernet
ЦДУ-01426;EOE-01 корпус для EMX-xxE;;;446,56;;8538 90 00 00;Класифікація: Корпус для електронного обладнання - код 8538 90 00 00 частини апаратури телекомунікаційної
ЦДУ-01427;Fiber making machine (30W, 300*300mm size);;;0,01;;8456 11 90 00;Виправлення: Лазерна машина для обробки волокна - код 8456 11 90 00 верстати лазерні інші
ЦДУ-00083;Ip-камера Dahua IPC-HFW11200SP;;;391,88;;8525 89 00 10;Виправлення: IP-камера відеоспостереження - код 8525 89 00 10 телевізійні камери цифрові
ЦДУ-00084;IP-телефон Yealink SIP-T19;;;275,00;;8517 18 00 00;Виправлення: IP-телефон VoIP - код 8517 18 00 00 інші телефонні апарати
ЦДУ-00085;IP-телефон Yealink SIP-T19;;;239,39;;8517 18 00 00;Точний збіг: (ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 18 00 00 - апарати телефонні VoIP
ЦДУ-00086;IP-телефон Yealink SIP-T19;;;239,34;;8517 18 00 00;Точний збіг: (ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 18 00 00 - апарати телефонні VoIP
ЦДУ-00087;IP-телефон Yealink SIP-T19;;;275,00;;8517 18 00 00;Точний збіг: (ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 18 00 00 - апарати телефонні VoIP
ЦДУ-00088;IP-телефон Yealink SIP-T19;;;239,34;;8517 18 00 00;Точний збіг: (ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 18 00 00 - апарати телефонні VoIP
ЦДУ-00089;IP-телефон Yealink SIP-T19;;;239,34;;8517 18 00 00;Точний збіг: (ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 18 00 00 - апарати телефонні VoIP
ЦДУ-00090;IP-телефон Yealink SIP-T19;;;275,00;;8517 18 00 00;Точний збіг: (ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 18 00 00 - апарати телефонні VoIP
