Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-01345;Штамп Кронштейн каркаса светофильтра TL;;;1 546,72;;8207 30 10 90;ВИПРАВЛЕНО: Штамп для виготовлення металевої панелі має код 8207 30 10 90 (НЕ 8207 30 00 00!)
ЦДУ-01346;Штамп на каністру;;;8 600,70;;8207 30 10 90;ВИПРАВЛЕНО: Штамп для пресування металевої каністри має код 8207 30 10 90 (НЕ 8207 30 00 00!)
ЦДУ-01347;Штамп Перемичка;;;1 574,13;;8207 30 10 90;ВИПРАВЛЕНО: Штамп для вирубки металевої перемички має код 8207 30 10 90 (НЕ 8207 30 00 00!)
ЦБ-003488;Штамп формовки «отбортовки» окна светофильтра панели верхней  WH/МН;8487 90 57 00 ;Импортированный товар;14 588,82;Частини машин або механічних пристроїв;8207 30 10 90;ВИПРАВЛЕНО: Штамп для пресування металу має код 8207 30 10 90 а НЕ 8487 (частини двигунів)
ЦДУ-01348;Штангенрейсмас ШР-400 0,1 2;;;686,95;;9017 30 00 00;(ЦБ-003354)Штангенциркуль вимірювальний має код 9017 30 00 00 - мікрометри, штангенциркулі та калібри
ЦБ-003354;Штангенциркуль МИКРОТЕХ ШЦ-І-150 (0.02);9017          ;Товар;651,67;Інструменти креслярські, розмічальні або математичні розрахункові;9017 30 00 00;Код правильний 9017 30 00 00 - мікрометри, штангенциркулі та калібри
ЦБ-003343;Штангенциркуль МИКРОТЕХ ШЦ-І-150 (0.02)(держреєстр) ;9017          ;Товар;651,67;Інструменти креслярські, розмічальні або математичні розрахункові;9017 30 00 00;Код правильний 9017 30 00 00 - мікрометри, штангенциркулі та калібри
ЦБ-003344;Штангенциркуль МИКРОТЕХ ШЦ-І-150 (0.02)(держреєстр);9017          ;Товар;651,67;Інструменти креслярські, розмічальні або математичні розрахункові;9017 30 00 00;Код правильний 9017 30 00 00 - мікрометри, штангенциркулі та калібри
ЦБ-003345;Штангенциркуль МИКРОТЕХ ШЦ-І-150 (0.02)(держреєстр);9017          ;Товар;651,67;Інструменти креслярські, розмічальні або математичні розрахункові;9017 30 00 00;Код правильний 9017 30 00 00 - мікрометри, штангенциркулі та калібри
ЦБ-003336;Штангенциркуль МІКРОТЕХ ШЦ-І-150-0,005 ДР;9017          ;Товар;650,83;Інструменти креслярські, розмічальні або математичні розрахункові;9017 30 00 00;Код правильний 9017 30 00 00 - мікрометри, штангенциркулі та калібри
ЦБ-003337;Штангенциркуль МІКРОТЕХ ШЦ-І-150-0,005 ДР;9017          ;Товар;650,83;Інструменти креслярські, розмічальні або математичні розрахункові;9017 30 00 00;Код правильний 9017 30 00 00 - мікрометри, штангенциркулі та калібри
ЦБ-003338;Штангенциркуль МІКРОТЕХ ШЦ-І-150-0,005 ДР;9017          ;Товар;650,84;Інструменти креслярські, розмічальні або математичні розрахункові;9017 30 00 00;Код правильний 9017 30 00 00 - мікрометри, штангенциркулі та калібри
ЦБ-003339;Штангенциркуль МІКРОТЕХ ШЦ-І-150-0,005 ДР;9017          ;Товар;650,83;Інструменти креслярські, розмічальні або математичні розрахункові;9017 30 00 00;Код правильний 9017 30 00 00 - мікрометри, штангенциркулі та калібри
ЦБ-003333;Штангенциркуль МІКРОТЕХ ШЦ-І-150-0,05 ДР;9017          ;Товар;650,83;Інструменти креслярські, розмічальні або математичні розрахункові;9017 30 00 00;Код правильний 9017 30 00 00 - мікрометри, штангенциркулі та калібри
