Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-01002;Проектор Acer X1223H;;;1 778,84;;8528 69 80 00;Проектори для виводу зображення - апарати прийомні для телебачення (проектори відеосигналу)
ЦДУ-01003;Просічно-витяжна машина;;;28 183,13;;8462 69 90 10;ВИПРАВЛЕНО: Просічно-витяжна машина - машина для обробки листових матеріалів (просікання та витягування)
ЦДУ-01004;Просічно-витяжна машина;;;28 183,13;;8462 69 90 10;(ЦДУ-01003)Просічно-витяжна машина має код 8462 69 90 10 - машини для обробки листових матеріалів
ЦДУ-01005;Просічно-витяжна машина;;;88 421,64;;8462 69 90 10;(ЦДУ-01003)Просічно-витяжна машина має код 8462 69 90 10 - машини для обробки листових матеріалів
ЦДУ-01006;Просічно-витяжна машина;;;17 428,15;;8462 69 90 10;(ЦДУ-01003)Просічно-витяжна машина має код 8462 69 90 10 - машини для обробки листових матеріалів
ЦДУ-01007;Просічно-витяжна машина;;;1 270,24;;8462 69 90 10;(ЦДУ-01003)Просічно-витяжна машина має код 8462 69 90 10 - машини для обробки листових матеріалів
ЦДУ-01008;Прохідна система заводу;;;11 205,14;;8531 10 95 90;ВИПРАВЛЕНО: Система контролю доступу (пропускна система) - апаратура сигналізаційна охоронна інша
ЦДУ-01009;Процесор Intel Core i7-4790K 4.0GHz/5GT/s/8MB (BX80646I74790K) s 1150 BOX;;;4 946,98;;8542 31 19 00;ВИПРАВЛЕНО: Процесор (мікропроцесор) - електронні інтегральні схеми процесори та контролери інші
ЦДУ-01010;Процесор Intel Core i7-4790K 4.0GHz/5GT/s/8MB (BX80646I74790K) s 1150 BOX;;;4 947,03;;8542 31 19 00;(ЦДУ-01009)Процесор Intel Core i7 має код 8542 31 19 00 - процесори та контролери електронні
ЦДУ-01011;Процесор Pentium 2.8 Ghz+MB ASUS-корпус Codegen+накопичувач 16 Mb;;;1 093,72;;8471 41 00 00;Системний блок комп'ютера (процесор + материнська плата + корпус + накопичувач) - комп'ютери настільні в одному корпусі
ЦДУ-01012;Процесор Pentium 2.8 Ghz+MB ASUS-корпус Codegen+накопичувач 16 Mb;;;1 093,72;;8471 41 00 00;(ЦДУ-01011)Системний блок має код 8471 41 00 00 - машини обчислювальні настільні
ЦДУ-01013;Пуансон Р.113.60.МОD.500;;;1 088,95;;8207 30 10 90;ВИПРАВЛЕНО: Пуансон - інструменти для пресування штампування для обробки металів інші
ЦДУ-01014;Пуансон Р.113.60.МОD.500;;;1 088,95;;8207 30 10 90;(ЦДУ-01013)Пуансон має код 8207 30 10 90 - інструменти штампувальні для обробки металів
ЦДУ-01015;Пуансон Р.160.88.МОD.500;;;1 088,95;;8207 30 10 90;(ЦДУ-01013)Пуансон має код 8207 30 10 90 - інструменти штампувальні для обробки металів
ЦДУ-01016;"Пункт контролю ""Сигнал 1-2""";;;0,01;;8531 10 95 90;ВИПРАВЛЕНО: Пункт контролю доступу - апаратура електрична сигналізаційна охоронна інша
ЦДУ-01017;Пуско-зарядний пристрій Дніпро-М JS-40;;;565,12;;8504 40 55 00;ВИПРАВЛЕНО: Пуско-зарядний пристрій - пристрої для заряджання акумуляторів
ЦДУ-01018;Радіостанція TID-Electronics TD-V90 (136-174 МГц) + Гарнітура (1);;;612,98;;8525 60 00 00;Радіостанція портативна (рація) - апарати передавальні до складу яких входить приймальна апаратура
ЦДУ-01019;Радіостанція TID-Electronics TD-V90 (136-174 МГц) + Гарнітура (2);;;613,02;;8525 60 00 00;(ЦДУ-01018)Радіостанція TD-V90 має код 8525 60 00 00 - апарати передавальні з приймачем
ЦДУ-01020;Радіостанція TID-Electronics TD-V90 (136-174 МГц) + Гарнітура (3);;;613,02;;8525 60 00 00;(ЦДУ-01018)Радіостанція TD-V90 має код 8525 60 00 00 - апарати передавальні з приймачем
ЦДУ-01021;Радіостанція TID-Electronics TD-V90 (136-174 МГц) + Гарнітура (4);;;612,98;;8525 60 00 00;(ЦДУ-01018)Радіостанція TD-V90 має код 8525 60 00 00 - апарати передавальні з приймачем
ЦДУ-01022;Радіотермінал ВІ 868 TREK;;;393,62;;8525 60 00 00;Радіотермінал для передачі даних - апарати передавальні з приймачем
ЦДУ-01023;Радіотермінал системи стільникового зв'язку ЕТМ моделі Purple 3G /1;;;0,01;;8517 62 00 00;Радіотермінал системи стільникового зв'язку (модем 3G) - апаратура для передачі/приймання даних
ЦДУ-01024;Радіотермінал системи стільникового зв'язку ЕТМ моделі Purple 3G /2;;;0,01;;8517 62 00 00;(ЦДУ-01023)Радіотермінал 3G має код 8517 62 00 00 - апаратура для передачі даних по мережі
ЦДУ-01025;Ресивер Р900,800-04(1);;;0,01;;8415 90 00 00;Ресивер (ресивер для холодильного обладнання) - частини машин і апаратів для кондиціонування повітря
ЦДУ-01026;Ресивер Р900,800-04(2);;;0,01;;8415 90 00 00;(ЦДУ-01027)Ресивер Р900,800-04 має код 8415 90 00 00 - частини устаткування для кондиціонування
ЦДУ-01027;Ресивер Р900,800-04(3);;;1 866,49;;8415 90 00 00;Ресивер для компресорного обладнання - частини машин і апаратів для кондиціонування повітря або охолодження
ЦДУ-01028;Ресивер Р900,800-04(4);;;1 866,49;;8415 90 00 00;(ЦДУ-01027)Ресивер Р900,800-04 має код 8415 90 00 00 - частини устаткування для кондиціонування
ЦДУ-01029;Ресивер Р900.800-04;;;1 700,92;;8415 90 00 00;(ЦДУ-01027)Ресивер Р900,800-04 має код 8415 90 00 00 - частини устаткування для кондиціонування
ЦДУ-01030;Ресивер РВ 900.800;;;4 436,02;;8415 90 00 00;(ЦДУ-01027)Ресивер має код 8415 90 00 00 - частини машин для кондиціонування або холодильного обладнання
ЦДУ-01031;Ресивер РВ 900.800;;;3 721,30;;8415 90 00 00;(ЦДУ-01027)Ресивер має код 8415 90 00 00 - частини машин для кондиціонування або холодильного обладнання
ЦДУ-01032;Ресивер РВ 900.800 (3);;;2 816,83;;8415 90 00 00;(ЦДУ-01027)Ресивер має код 8415 90 00 00 - частини машин для кондиціонування або холодильного обладнання
ЦДУ-01033;РоЕ-адаптер MikroTik RBGPOE;;;43,22;;8517 62 00 00;(ЦДУ-00097)РоЕ-адаптер має код 8517 62 00 00 - апаратура для передачі даних через Ethernet з живленням PoE
ЦДУ-01034;РоЕ-адаптер MikroTik RBGPOE;;;43,27;;8517 62 00 00;(ЦДУ-00097)РоЕ-адаптер має код 8517 62 00 00 - апаратура для передачі даних через Ethernet з живленням PoE
ЦДУ-01035;РоЕ-адаптер TP-Link TL-POE10R;;;72,42;;8517 62 00 00;(ЦДУ-00097)РоЕ-адаптер має код 8517 62 00 00 - апаратура для передачі даних через Ethernet з живленням PoE
ЦДУ-01036;Розпилювач електростатичний;;;962,50;;8424 89 90 00;Розпилювач електростатичний для нанесення покриттів - механічні пристрої для розпилювання рідин або порошків
ЦДУ-01037;Розпилювач електростатичний;;;962,50;;8424 89 90 00;(ЦДУ-01036)Розпилювач електростатичний має код 8424 89 90 00 - пристрої механічні для розпилювання
ЦДУ-01038;Ручна установка для електростатичного нанесення з бункером50л. КМ 200;;;0,01;;8424 89 90 00;Установка для електростатичного нанесення (розпилювач порошкової фарби) - обладнання механічне для розпилювання
ЦДУ-01039;Ручна установка для електростатичного нанесення с бункером 50л. КМ 200;;;0,01;;8424 89 90 00;(ЦДУ-01038)Установка для електростатичного нанесення має код 8424 89 90 00 - обладнання для розпилювання
ЦДУ-01040;Ручна установка для нанесення порошкової фарби методом пульверизації;;;8 292,19;;8424 89 90 00;Установка для нанесення порошкової фарби (пульверизатор) - обладнання механічне для розпилювання порошкових матеріалів
ЦДУ-01041;Ручний гідравлічний штабелер MS1000/1600 Торгова марка ЕD MAERS;;;2 792,72;;8427 10 00 00;Штабелер гідравлічний ручний (рокла) - візки саморухомі штабелери з висотою підйому до 1м
ЦДУ-01042;Ручний згинальний станок Eur Omega 41/1.5 x 1050 №1;;;0,01;;8462 69 90 10;ВИПРАВЛЕНО: Листозгинальний станок ручний - машини для обробки листових матеріалів без ЧПУ
ЦДУ-01043;Ручний згинальний станок Eur Omega 41/1.5 x 1050 №2;;;0,01;;8462 69 90 10;(ЦДУ-01042)Ручний згинальний станок має код 8462 69 90 10 - машини для обробки листових матеріалів
ЦДУ-01044;Ручний згинальний станок Eur Omega 41/1.5 x 1050 №3;;;0,01;;8462 69 90 10;(ЦДУ-01042)Ручний згинальний станок має код 8462 69 90 10 - машини для обробки листових матеріалів
ЦДУ-01045;Ручний згинальний станок Eur Omega 41/1.5 x 1050 №4;;;0,01;;8462 69 90 10;(ЦДУ-01042)Ручний згинальний станок має код 8462 69 90 10 - машини для обробки листових матеріалів
ЦДУ-01046;Ручний згинальний станок Eur Omega 41/1.5 x 1050 №5;;;0,01;;8462 69 90 10;(ЦДУ-01042)Ручний згинальний станок має код 8462 69 90 10 - машини для обробки листових матеріалів
ЦДУ-01047;Ручний згинальний станок Eur Omega 41/1.5 x 1050 №6;;;0,01;;8462 69 90 10;(ЦДУ-01042)Ручний згинальний станок має код 8462 69 90 10 - машини для обробки листових матеріалів
ЦДУ-01048;Ручний згинальний станок Eur Omega 41/1.5 x 1060 №1;;;0,01;;8462 69 90 10;(ЦДУ-01042)Ручний згинальний станок має код 8462 69 90 10 - машини для обробки листових матеріалів
ЦДУ-01049;Ручний згинальний станок Eur Omega 41/1.5 x 1060 №2;;;0,01;;8462 69 90 10;(ЦДУ-01042)Ручний згинальний станок має код 8462 69 90 10 - машини для обробки листових матеріалів
ЦДУ-01050;Ручний згинальний станок Eur Omega 41/1.5 x 1060 №3;;;0,01;;8462 69 90 10;(ЦДУ-01042)Ручний згинальний станок має код 8462 69 90 10 - машини для обробки листових матеріалів
ЦДУ-01051;Ручний згинальний станок Eur Omega 41/1.5 x 1060 №4;;;0,01;;8462 69 90 10;(ЦДУ-01042)Ручний згинальний станок має код 8462 69 90 10 - машини для обробки листових матеріалів
ЦДУ-01052;Ручний згинальний станок Eur Omega 41/1.5 x 1060 №5;;;0,01;;8462 69 90 10;(ЦДУ-01042)Ручний згинальний станок має код 8462 69 90 10 - машини для обробки листових матеріалів
ЦДУ-01053;Ручний згинальний станок Eur Omega 41/1.5 x 1060 №6;;;0,01;;8462 69 90 10;(ЦДУ-01042)Ручний згинальний станок має код 8462 69 90 10 - машини для обробки листових матеріалів
ЦДУ-01054;Сварочний інвертор Днепр-М міні Мма 250 CDРВ;;;612,75;;8515 31 00 00;Зварювальний інвертор для електродугового зварювання - машини для електродугового зварювання металів
ЦДУ-01055;Свердлильний верстат PBD 40 Standart, BOSH;;;1 499,76;;8459 29 00 00;Свердлильний верстат настільний - верстати свердлильні для обробки металу без ЧПУ
ЦДУ-01056;Сверлильний станок вертикального типу Euro Omega Z №1;;;0,01;;8459 29 00 00;(ЦДУ-01055)Свердлильний станок має код 8459 29 00 00 - верстати свердлильні вертикального типу без ЧПУ
ЦДУ-01057;Сверлильний станок вертикального типу Euro Omega Z №2;;;0,01;;8459 29 00 00;(ЦДУ-01055)Свердлильний станок має код 8459 29 00 00 - верстати свердлильні вертикального типу без ЧПУ
ЦДУ-01058;Сверлильний станок вертикального типу Euro Omega Z №3;;;0,01;;8459 29 00 00;(ЦДУ-01055)Свердлильний станок має код 8459 29 00 00 - верстати свердлильні вертикального типу без ЧПУ
ЦДУ-01059;Сейф СО-106-11К (без касового відсіку);;;693,23;;8303 00 00 00;Сейф металевий офісний - вироби з чорних металів для зберігання цінностей
ЦДУ-01060;Сейф СО-106-11К (без касового відсіку);;;693,23;;8303 00 00 00;(ЦДУ-01059)Сейф металевий має код 8303 00 00 00 - шафи сейфові металеві
ЦДУ-01061;Сейф СО-106-11К (без касового відсіку);;;693,23;;8303 00 00 00;(ЦДУ-01059)Сейф металевий має код 8303 00 00 00 - шафи сейфові металеві
ЦДУ-01062;Сейф СО-106-11К (без касового відсіку);;;693,23;;8303 00 00 00;(ЦДУ-01059)Сейф металевий має код 8303 00 00 00 - шафи сейфові металеві
ЦДУ-01063;Сейф стінний 243Р 250*400*240мм;;;1 352,09;;8303 00 00 00;Сейф стінний металевий - вироби з чорних металів для зберігання цінностей (шафи сейфові)
ЦДУ-01064;Секції стелажу 62-63;;;10 032,60;;9403 20 00 00;Секції стелажу металевого - меблі металеві для зберігання
ЦДУ-01065;"Сервер Dell Power Edge R710/E5530 2.40GHz/48GB DDR3/8x2.5""/PERC6i/2 блока живлення";;;15 638,46;;8471 49 00 00;Сервер стоечний (rack server) Dell - машини обчислювальні автоматичні представлені у вигляді систем
ЦДУ-01066;Сервер Dell T610;;;28 010,53;;8471 49 00 00;(ЦДУ-01065)Сервер Dell має код 8471 49 00 00 - машини обчислювальні представлені у вигляді систем
ЦДУ-01067;Система відеоспостереження ЗАВОД;;;22 808,25;;8525 80 19 00;Система відеоспостереження (комплекс камер + реєстратор) - апаратура передавальна для телебачення камери телевізійні
ЦДУ-01068;Система газопостачання топкової та інф. випромін.;;;6 328,54;;8403 10 00 00;Система газопостачання для котлів та інфрачервоного випромінювання - котли центрального опалення для виробництва гарячої води
