Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00814;Нутромер індикаторний НІ-10-18 кл.1;;;907,50;;9017 30 00 00;(ЦДУ-00486)Індикатор годинникового типу має код 9017 - інструменти вимірювальні оптичні
ЦДУ-00815;Нутромер індикаторний НІ-18-50 кл.1;;;1 072,50;;9017 30 00 00;(ЦДУ-00814)Аналогічний нутромер має код 9017 30 00 00 - інструменти вимірювальні
ЦДУ-00816;Обладнання КНС і каналіз.мережі;;;59 538,41;;8479 89 97 00;Обладнання для каналізаційних мереж - машини промислові спеціального призначення
ЦДУ-00817;Овочерізка;;;113,61;;8210 00 00 00;Механічні пристрої для обробки продуктів - машини ручні
ЦДУ-00818;Одноканальний РОЕ інжектор PFT120;;;277,38;;8517 62 00 00;(ЦДУ-00097)PoE-інжектор TENDA має код 8517 62 00 00 - апаратура передачі даних Ethernet
ЦДУ-00819;Оптоволоконна лазерна система AFX-500;;;403 013,48;;8456 11 00 00;(ЦДУ-00094)Laser cutting machine має код 8456 11 00 00 - лазерні верстати для обробки матеріалів
ЦДУ-00820;Оснастка для ручних згинальних станікв №1;;;1 090,28;;8466 93 00 00;Оснастка для верстатів - частини і приладдя до верстатів для обробки металів
ЦДУ-00821;Оснастка для ручних згинальних станікв №2;;;1 090,28;;8466 93 00 00;(ЦДУ-00820)Аналогічна оснастка має код 8466 93 00 00
ЦДУ-00822;Осушувач повітря МР 0120;;;1 405,66;;8479 89 97 00;(ЦДУ-00266)Висушувач повітря - машина для кондиціонування повітря промислова
ЦДУ-00823;Охолоджувач води 3Р;;;6 875,01;;8418 69 00 00;Промисловий холодильник для охолодження води - обладнання холодильне
ЦДУ-00824;Пакувальний верстат;;;1 950,36;;8422 40 00 00;Верстат для пакування - машини для обгортання товарів
ЦДУ-00825;Паркан;;;2 728,14;;7308 90 99 00;Металева огорожа - конструкції зі сталі
ЦДУ-00826;Патрон токарний 3-250. 35 14 П;;;463,50;;8466 20 00 00;Патрон токарний - пристосування для затискання інструменту
ЦДУ-00827;Паяльна станція SOLDER SD 100;;;129,21;;8515 11 00 00;Паяльний пристрій електричний - устаткування для паяння
ЦДУ-00828;Пенал індивідуальний (бук);;;168,53;;9403 60 90 00;Меблі дерев'яні для зберігання
ЦДУ-00829;Пенал індивідуальний (бук);;;168,48;;9403 60 90 00;(ЦДУ-00828)Аналогічний пенал має код 9403 60 90 00
