Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-01177;Тепловентилятор 12/6 кВт №4;;;1 176,08;;8516 29 91 00;(ЦДУ-01177)Електрообігрівачі з вентилятором - 8516 29 91 00
ЦДУ-01178;Тепловентилятор 12/6 кВт №5;;;1 176,08;;8516 29 91 00;(ЦДУ-01178)Електрообігрівачі з вентилятором - 8516 29 91 00
ЦДУ-01179;Тепловентилятор Термія-9000 380В;;;57 750,08;;8516 29 91 00;(ЦДУ-01179)Електрообігрівачі з вентилятором - 8516 29 91 00
ЦДУ-01180;"Теплогенератор ""Дракон-100"" 10";;;3 491,51;;8516 29 91 00;(ЦДУ-01180)Електрообігрівачі з вентилятором - 8516 29 91 00
ЦДУ-01181;"Теплогенератор ""Дракон-200""";;;1 444,71;;8516 29 91 00;(ЦДУ-01181)Електрообігрівачі з вентилятором - 8516 29 91 00
ЦДУ-01182;"Теплогенератор ""Дракон-200"" -1";;;3 491,51;;8516 29 91 00;(ЦДУ-01182)Електрообігрівачі з вентилятором - 8516 29 91 00
ЦДУ-01183;"Теплогенератор ""Дракон-200"" 11";;;0,01;;8516 29 91 00;(ЦДУ-01183)Електрообігрівачі з вентилятором - 8516 29 91 00
ЦДУ-01184;"Теплогенератор ""Дракон-200"" -2";;;3 491,51;;8516 29 91 00;(ЦДУ-01184)Електрообігрівачі з вентилятором - 8516 29 91 00
ЦДУ-01185;"Теплогенератор ""Дракон-200"" -3";;;3 491,51;;8516 29 91 00;(ЦДУ-01185)Електрообігрівачі з вентилятором - 8516 29 91 00
ЦДУ-01186;"Теплогенератор ""Дракон-200""12";;;0,01;;8516 29 91 00;(ЦДУ-01186)Електрообігрівачі з вентилятором - 8516 29 91 00
ЦДУ-01187;Теплогенератор для обігріву приміщень 200 кВт (1);;;16 821,00;;8516 29 91 00;(ЦДУ-01187)Електрообігрівачі з вентилятором - 8516 29 91 00
ЦДУ-01188;Теплогенератор для обігріву приміщень 200 кВт (2);;;16 821,00;;8516 29 91 00;(ЦДУ-01188)Електрообігрівачі з вентилятором - 8516 29 91 00
ЦДУ-01189;Теплообмінник пластинчатий ФП 04-Т-11 №1;;;2 342,09;;8419 50 80 00;(ЦДУ-01189)Теплообмінники інші - 8419 50 80 00
ЦДУ-01190;Теплообмінник пластинчатий ФП 04-Т-11 №2;;;2 342,09;;8419 50 80 00;(ЦДУ-01190)Теплообмінники інші - 8419 50 80 00
ЦДУ-01191;Термінал даних MC3090G, Laser, Color. 48 кл., СЕ5.0 БВ;;;2 326,50;;8471 30 00 00;(ЦДУ-01191)Портативні машини обробки даних - 8471 30 00 00
ЦДУ-01192;Термінал збору даних MC32N0 GUN 1D SE96X. A/B/G/N BT 512MB RA2GB ROM/М 28K HIGH CAPACITY BATT;;;6 491,38;;8471 30 00 00;(ЦДУ-01192)Портативні машини обробки даних - 8471 30 00 00
ЦДУ-01193;Термінал збору даних MC32N0 GUN 1D SE96X. A/B/G/N BT 512MB RA2GB ROM/М 28K HIGH CAPACITY BATT;;;5 704,38;;8471 30 00 00;(ЦДУ-01193)Портативні машини обробки даних - 8471 30 00 00
ЦДУ-01194;Термінал збору даних MC32N0 Gun, 1D SE96x, a/b/g/n, BT, 512MB RAM/2GB ROM, 28K, High Capacity Batt;;;6 257,38;;8471 30 00 00;(ЦДУ-01194)Портативні машини обробки даних - 8471 30 00 00
ЦДУ-01195;Термінал збору даних MC32N0 Gun, 1D SE96x, a/b/g/n, BT, 512MB RAM/2GB ROM, 28K, High Capacity Batt;;;6 257,38;;8471 30 00 00;(ЦДУ-01195)Портативні машини обробки даних - 8471 30 00 00
ЦДУ-01196;Термінал збору даних MC32N0 Gun, 1D SE96x, a/b/g/n, BT, 512MB RAM/2GB ROM, 28K, High Capacity Batt;;;5 370,30;;8471 30 00 00;(ЦДУ-01196)Портативні машини обробки даних - 8471 30 00 00
ЦДУ-01197;Термінал МС3190G, лазерний кольоровий, 28 кнопок;;;7 742,18;;8471 30 00 00;(ЦДУ-01197)Портативні машини обробки даних - 8471 30 00 00
ЦДУ-01198;Термопласт автомат DKM500, 500т (DKM500 Standart Injection Machine with B screw);;;0,01;;8477 10 00 00;(ЦДУ-01198)Машини інжекційно-ливарні - 8477 10 00 00
ЦДУ-01199;Термопластавтомат 150Т;;;0,01;;8477 10 00 00;(ЦДУ-01199)Машини інжекційно-ливарні - 8477 10 00 00
