Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00166;Акумуляторний Шурупокрут BOSCH Li-lon GSR 1800-LI 4;;;577,31;;8467 21 10 00;Аналогія: (ЦДУ-00164)Акумуляторний шурупокрут BOSCH Li-lon GSR 1800-LI має код 8467 21 10 00 - акумуляторні електроінструменти Bosch
ЦДУ-00167;Акумуляторный шурупокрут BOSCH Li-lon GSR 1800-LI 5;;;577,31;;8467 21 10 00;Аналогія: (ЦДУ-00164)Акумуляторний шурупокрут BOSCH Li-lon GSR 1800-LI має код 8467 21 10 00 - акумуляторні електроінструменти Bosch
ЦДУ-00168;Акустична система Sven 312 black;;;42,58;;8518 21 00 90;Виправлено: Акустична система Sven 312 - код 8518 21 00 90 гучномовці в корпусі інші (код 8518 21 00 00 не існує)
ЦДУ-00169;Акустична система Sven 312 black;;;42,58;;8518 21 00 90;Точний збіг: (ЦДУ-00168)Акустична система Sven 312 має код 8518 21 00 90 - ідентична акустична система
ЦДУ-00170;Акустична система Sven 312 black;;;42,63;;8518 21 00 90;Точний збіг: (ЦДУ-00168)Акустична система Sven 312 має код 8518 21 00 90 - ідентична акустична система
ЦДУ-00171;Акустична система Sven 312 black;;;42,58;;8518 21 00 90;Точний збіг: (ЦДУ-00168)Акустична система Sven 312 має код 8518 21 00 90 - ідентична акустична система
ЦДУ-00172;Акустична система Sven 312 black;;;42,58;;8518 21 00 90;Точний збіг: (ЦДУ-00168)Акустична система Sven 312 має код 8518 21 00 90 - ідентична акустична система
ЦДУ-00173;Апарат для аргонового зварювання №1;;;4 685,14;;8515 31 00 00;Класифікація: Апарат для дугового зварювання - код 8515 31 00 00 машини для дугового зварювання
ЦДУ-00174;Апарат для аргонового зварювання №2;;;4 685,14;;8515 31 00 00;Точний збіг: (ЦДУ-00173)Апарат для аргонового зварювання має код 8515 31 00 00 - ідентичний зварювальний апарат
ЦДУ-00175;Апарат для зварювання Picomig 180 puls TGE №1;;;26 261,69;;8515 31 00 00;Аналогія: (ЦДУ-00173)Апарат для аргонового зварювання має код 8515 31 00 00 - зварювальні апарати дугові
ЦДУ-00176;Апарат для зварювання Picomig 180 puls TGE №2;;;0,01;;8515 31 00 00;Аналогія: (ЦДУ-00173)Апарат для аргонового зварювання має код 8515 31 00 00 - зварювальні апарати дугові
ЦДУ-00177;Апарат для зварювання Tetrix 200 Comfort 8P GE;;;0,01;;8515 31 00 00;Аналогія: (ЦДУ-00173)Апарат для аргонового зварювання має код 8515 31 00 00 - зварювальні апарати дугові
ЦДУ-00178;Апарат для зварювання Tetrix 200 Comfort 8P GE(на духовки);;;5 898,18;;8515 31 00 00;Аналогія: (ЦДУ-00173)Апарат для аргонового зварювання має код 8515 31 00 00 - зварювальні апарати дугові
ЦДУ-00179;Апарат для нагр. охолодж. води V 208 F;;;508,75;;8419 50 00 00;Класифікація: Теплообмінник вода-вода - код 8419 50 00 00 теплообмінники холодильні
ЦДУ-00180;Апарат для очищення Меджик Клінер Stand Alone;;;89 174,78;;8424 89 90 00;Класифікація: Обладнання для очищення поверхонь - код 8424 89 90 00 механічні пристрої для очищення
ЦДУ-00181;Багатоф. лічильник EMS 132.41.4 с RS485 (Код УКТЗЕД 9028301900);;;1 870,00;;9028 30 19 00;Класифікація: Багатофункціональний лічильник електроенергії - код 9028 30 19 00 лічильники електричної енергії
ЦДУ-00182;Багатофункціональний обжимний інструмент DIGITUS;;;163,63;;8203 20 99 00;Класифікація: Обжимний інструмент для кабелів - код 8203 20 99 00 щипці та інструменти обжимні
ЦДУ-00183;Багатофункціональний принтер HP LJ Pro M426fdn;;;2 475,00;;8443 32 10 00;Класифікація: Багатофункціональний пристрій лазерний - код 8443 32 10 00 машини друкувальні лазерні
ЦДУ-00184;Багатофункціональний пристрій НР LaserJet Pro M426fdn(F6W14A);;;1 930,20;;8443 32 10 00;Точний збіг: (ЦДУ-00183)HP LJ Pro M426fdn має код 8443 32 10 00 - ідентичний багатофункціональний принтер
ЦДУ-00185;Багатофункціональний пристрій НР LaserJet Pro M426fdn(F6W14A) / 3;;;2 135,64;;8443 32 10 00;Точний збіг: (ЦДУ-00183)HP LJ Pro M426fdn має код 8443 32 10 00 - ідентичний багатофункціональний принтер
ЦДУ-00186;Бак приготування розчину з насосом;;;0,01;;8424 89 90 00;Класифікація: Бак з насосом для розчинів - код 8424 89 90 00 обладнання для розпилення рідин
ЦДУ-00187;Безперебійник Mustek PowerMust 600;;;284,28;;8504 40 88 00;Класифікація: Джерело безперебійного живлення - код 8504 40 88 00 перетворювачі статичні електричні
ЦДУ-00188;Безперебійник Mustek PowerMust 600;;;284,28;;8504 40 88 00;Точний збіг: (ЦДУ-00187)Безперебійник Mustek PowerMust має код 8504 40 88 00 - ідентичний ДБЖ
ЦДУ-00189;Безперебійник Mustek PowerMust 600;;;276,01;;8504 40 88 00;Точний збіг: (ЦДУ-00187)Безперебійник Mustek PowerMust має код 8504 40 88 00 - ідентичний ДБЖ
ЦДУ-00190;Безперебійник Mustek PowerMust 600;;;276,01;;8504 40 88 00;Точний збіг: (ЦДУ-00187)Безперебійник Mustek PowerMust має код 8504 40 88 00 - ідентичний ДБЖ
ЦДУ-00191;Безперебійник Mustek PowerMust 600 Offline 600VA/300W (600-LED-O;;;308,81;;8504 40 88 00;Точний збіг: (ЦДУ-00187)Безперебійник Mustek PowerMust має код 8504 40 88 00 - ідентичний ДБЖ
ЦДУ-00192;Безперебійник Mustek PowerMust 600 Offline 600VA/300W (600-LED-O;;;308,81;;8504 40 88 00;Точний збіг: (ЦДУ-00187)Безперебійник Mustek PowerMust має код 8504 40 88 00 - ідентичний ДБЖ
ЦДУ-00193;Безперебійник Mustek PowerMust 600 Offline 600VA/300W (600-LED-O;;;308,81;;8504 40 88 00;Точний збіг: (ЦДУ-00187)Безперебійник Mustek PowerMust має код 8504 40 88 00 - ідентичний ДБЖ
ЦДУ-00194;Безпровідний комплект Dell KM636 Wireless Keyboard and Mouse Black;;;216,75;;8471 60 70 00;Класифікація: Комплект клавіатура та миша безпровідні - код 8471 60 70 00 пристрої введення периферійні
ЦДУ-00195;Бензиновий тріммер Foresta FC-52 LX-1;;;0,01;;8467 29 80 00;Класифікація: Тример бензиновий садовий - код 8467 29 80 00 тримери газонокосарки з двигуном
ЦДУ-00196;Бензогенератор зварювальний FORTE FG6500EW -потужність 5кВт;;;0,01;;8502 20 00 00;Класифікація: Генератор зварювальний бензиновий - код 8502 20 00 00 генератори електричні з двигуном внутрішнього згоряння
ЦДУ-00197;Бензопила EFCO MT 770 Professional ITALY;;;737,09;;8467 81 00 00;Класифікація: Бензопила ланцюгова професійна - код 8467 81 00 00 пилки ланцюгові з двигуном
ЦДУ-00198;Бензопила ланцюгова Oleo-Mac GS650;;;2 697,83;;8467 81 00 00;Аналогія: (ЦДУ-00197)Бензопила EFCO має код 8467 81 00 00 - бензопили ланцюгові
