Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00553;Компресор Aircast СБ4/С-100 LB30A;;;2 919,59;;8414 80 78 00;Класифікація: Компресор повітряний поршневий - код 8414 80 78 00 компресори повітряні інші
ЦДУ-00554;Компресор гвинтовий TIDY 40 B;;;28 847,46;;8414 80 75 00;ВИПРАВЛЕНО: Компресор гвинтовий - код 8414 80 75 00 компресори гвинтові
ЦДУ-00555;Компресор гвинтовий на ресивері TIDY 15 (13 bar);;;30 461,77;;8414 80 75 00;ВИПРАВЛЕНО: (ЦДУ-00554)Компресор гвинтовий має код 8414 80 75 00 - гвинтові компресори
ЦДУ-00556;Компресор гвинтовий на ресивері TIDY 15 (13 bar)(2);;;23 331,56;;8414 80 75 00;ВИПРАВЛЕНО: (ЦДУ-00554)Компресор гвинтовий має код 8414 80 75 00 - гвинтові компресори
ЦДУ-00557;Компресор стаціонарний SEС221-7,5;;;0,01;;8414 80 75 00;ВИПРАВЛЕНО: Компресор стаціонарний - код 8414 80 75 00 гвинтові компресори
ЦДУ-00558;Компресорна заводу загальною площею 288 кв.м.;;;3 365,57;;Не класифікується;Будівля компресорної - не підлягає класифікації за УКТЗЕД (нерухомість)
ЦДУ-00559;Компрессор СВ4/С-100LВ50(РМ-3128.00);;;4 262,51;;8414 80 78 00;Аналогія: (ЦДУ-00553)Компресор Aircast має код 8414 80 78 00 - поршневі компресори
ЦДУ-00560;Комп'ютер /Lenovo IdeaCentre C540(57-313081);;;3 712,64;;8471 30 00 00;Аналогія: (ЦДУ-00096)Lenovo IdeaCentre має код 8471 30 00 00 - обчислювальні машини моноблоки
ЦДУ-00561;Комп'ютер Asus Vivo AiO V221IDUK-BA012D;;;4 250,45;;8471 30 00 00;Аналогія: (ЦДУ-00082)Dell Inspiron має код 8471 30 00 00 - обчислювальні машини моноблоки
ЦДУ-00562;Комп'ютер Asus Vivo AiO V222GAK-WA003D Silver;;;2 047,88;;8471 30 00 00;Аналогія: (ЦДУ-00082)Dell Inspiron має код 8471 30 00 00 - обчислювальні машини моноблоки
ЦДУ-00563;Комп'ютер BRAIN BUSINESS B300;;;1 313,54;;8471 41 00 00;Класифікація: Комп'ютер настільний системний блок - код 8471 41 00 00 машини обчислювальні цифрові
ЦДУ-00564;Комп'ютер BRAIN BUSINESS B300;;;1 313,49;;8471 41 00 00;Точний збіг: (ЦДУ-00563)Комп'ютер BRAIN BUSINESS має код 8471 41 00 00 - настільні ПК
ЦДУ-00565;Комп'ютер BRAIN ULMATE B50;;;3 604,89;;8471 41 00 00;Аналогія: (ЦДУ-00563)Комп'ютер BRAIN має код 8471 41 00 00 - настільні комп'ютери
ЦДУ-00566;Комп'ютер BRAIN ULMATE B50;;;3 604,93;;8471 41 00 00;Аналогія: (ЦДУ-00563)Комп'ютер BRAIN має код 8471 41 00 00 - настільні комп'ютери
ЦДУ-00567;Комп'ютер BRAIN ULMATE B50;;;3 604,93;;8471 41 00 00;Аналогія: (ЦДУ-00563)Комп'ютер BRAIN має код 8471 41 00 00 - настільні комп'ютери
ЦДУ-00568;Комп'ютер BRAIN ULMATE B50;;;3 604,89;;8471 41 00 00;Аналогія: (ЦДУ-00563)Комп'ютер BRAIN має код 8471 41 00 00 - настільні комп'ютери
ЦДУ-00569;Комп'ютер HP 260 G2 DM;;;151,66;;8471 41 00 00;Класифікація: Міні-ПК HP DM (Desktop Mini) - код 8471 41 00 00 машини обчислювальні компактні
ЦДУ-00570;Комп'ютер HP 260 G2 DM;;;1 539,36;;8471 41 00 00;Точний збіг: (ЦДУ-00569)Комп'ютер HP 260 G2 DM має код 8471 41 00 00 - міні-ПК
ЦДУ-00571;Комп'ютер Zalman Z1 (1);;;7 367,67;;8471 41 00 00;Класифікація: Комп'ютер у корпусі Zalman - код 8471 41 00 00 машини обчислювальні настільні
ЦДУ-00572;Комп'ютер Zalman Z1 (2);;;6 981,89;;8471 41 00 00;Точний збіг: (ЦДУ-00571)Комп'ютер Zalman Z1 має код 8471 41 00 00 - настільні ПК
ЦДУ-00573;Комп'ютер Іntel P55,DDR3 4096MB, 1000GB,GF210;;;3 382,41;;8471 41 00 00;Класифікація: Комп'ютер настільний на базі Intel - код 8471 41 00 00 машини обчислювальні цифрові
ЦДУ-00574;Комп'ютер Іntel P55,DDR3 4096MB, 1000GB,GF210;;;3 382,41;;8471 41 00 00;Точний збіг: (ЦДУ-00573)Комп'ютер Intel P55 має код 8471 41 00 00 - настільні ПК
ЦДУ-00575;Комп'ютер Іntel P55,DDR3 4096MB, 1000GB,GF210;;;3 382,41;;8471 41 00 00;Точний збіг: (ЦДУ-00573)Комп'ютер Intel P55 має код 8471 41 00 00 - настільні ПК
ЦДУ-00576;Комп'ютер Іntel P55,DDR3 4096MB, 1000GB,GF210;;;3 382,41;;8471 41 00 00;Точний збіг: (ЦДУ-00573)Комп'ютер Intel P55 має код 8471 41 00 00 - настільні ПК
ЦДУ-00577;Комп'ютер Іntel P55,DDR3 4096MB, 1000GB,GF210;;;3 382,37;;8471 41 00 00;Точний збіг: (ЦДУ-00573)Комп'ютер Intel P55 має код 8471 41 00 00 - настільні ПК
ЦДУ-00578;Комутатор HP ProCurve Switch 1700-24(J9080A);;;908,14;;8517 62 00 00;Класифікація: Комутатор мережевий HP - код 8517 62 00 00 апаратура для передавання даних
ЦДУ-00579;Комутатор MikroTik RB951G-2HnD;;;500,64;;8517 62 00 00;Аналогія: (ЦДУ-00117)Wi-Fi точка доступу MikroTik має код 8517 62 00 00 - мережеве обладнання MikroTik
ЦБ-003478;Комутатор Planet  IGS-10020PT;8517620000    ;Импортированный товар;20 217,50;;8517 62 00 00;Апаратура для прийому, перетворення, передавання або відновлення голосу
ЦБ-003479;Комутатор Planet  IGS-10020PT;8517620000    ;Импортированный товар;20 217,50;;8517 62 00 00;Апаратура для прийому, перетворення, передавання або відновлення голосу
ЦБ-003490;Комутатор PLANET GSW-2620HP;8517620000    ;Импортированный товар;12 500,00;;8517 62 00 00;Апаратура для прийому, перетворення, передавання або відновлення голосу
ЦБ-003438;Комутатор Planet IGS-624 HPT IP 30 6-port Gigabit Switch with u-Port 802.3 AT POE+ plus 2-port 100/1;8517620000    ;Импортированный товар;9 983,33;;8517 62 00 00;Апаратура для прийому, перетворення, передавання або відновлення голосу
ЦБ-003439;Комутатор Planet IGS-624 HPT IP 30 6-port Gigabit Switch with u-Port 802.3 AT POE+ plus 2-port 100/1;8517620000    ;Импортированный товар;9 983,34;;8517 62 00 00;Апаратура для прийому, перетворення, передавання або відновлення голосу
ЦДУ-00580;Комутатор Tenda TEG1008D;;;150,52;;8517 62 00 00;Класифікація: Комутатор мережевий Tenda - код 8517 62 00 00 апаратура для передавання даних
ЦДУ-00581;Комутатор Tenda TEG1008D;;;150,56;;8517 62 00 00;Точний збіг: (ЦДУ-00580)Комутатор Tenda TEG1008D має код 8517 62 00 00 - ідентичний комутатор
ЦДУ-00582;Комутатор TP-LINK TL-SF1048;;;533,91;;8517 62 00 00;Класифікація: Комутатор мережевий TP-LINK - код 8517 62 00 00 апаратура для передавання даних
ЦДУ-00583;Комутатор TP-LINK TL-SG1016D;;;344,99;;8517 62 00 00;Аналогія: (ЦДУ-00582)Комутатор TP-LINK має код 8517 62 00 00 - мережеві комутатори TP-LINK
ЦДУ-00584;Комутатор TP-LINK TL-SG1016D;;;380,51;;8517 62 00 00;Аналогія: (ЦДУ-00582)Комутатор TP-LINK має код 8517 62 00 00 - мережеві комутатори TP-LINK
ЦДУ-00585;Комутатор TP-LINK TL-SG1016D;;;380,51;;8517 62 00 00;Аналогія: (ЦДУ-00582)Комутатор TP-LINK має код 8517 62 00 00 - мережеві комутатори TP-LINK
ЦДУ-00586;Комутатор TP-LINK TL-SG1088x1GE;;;138,33;;8517 62 00 00;Аналогія: (ЦДУ-00582)Комутатор TP-LINK має код 8517 62 00 00 - мережеві комутатори TP-LINK
ЦДУ-00587;Комутатор керований Mikrotik GRS125-24G-1S-RM;;;1 024,79;;8517 62 00 00;Аналогія: (ЦДУ-00579)Комутатор MikroTik має код 8517 62 00 00 - керовані комутатори MikroTik
ЦДУ-00588;Комутатор керований Mikrotik GRS125-24G-1S-RM;;;1 032,67;;8517 62 00 00;Аналогія: (ЦДУ-00587)Комутатор MikroTik GRS125 має код 8517 62 00 00 - ідентичний комутатор
ЦДУ-00589;Комутаційна стійка 42U;;;1 161,08;;9403 20 80 00;ВИПРАВЛЕНО: Стійка серверна 42U металева - код 9403 20 80 00 інші меблі металеві
ЦДУ-00590;Конвеєрний ланцюг в комплекті;;;72 376,16;;8431 39 00 00;Класифікація: Ланцюг транспортерний конвеєрний - код 8431 39 00 00 частини машин для підіймання вантажів
ЦДУ-00591;Конвектор ТЕРМІЯ ЕВНА-2,0/230 (сш);;;161,38;;8516 29 00 00;Класифікація: Конвектор електричний побутовий - код 8516 29 00 00 обігрівачі електричні опалювальні
ЦДУ-00592;"Конденсаторна установка КРМ ""ВЕГ"" 0,4 170/5 Індивідуальна ІР31";;;32 617,33;;8532 10 00 00;ВИПРАВЛЕНО: Установка конденсаторна силова - код 8532 10 00 00 конденсатори силові для мереж 50/60 Гц
ЦДУ-00593;"Конденсаторна установка КРМ ""ВЕГ"" 0,4 50/2 Індивідуальна 3 ІР54";;;15 459,77;;8532 10 00 00;ВИПРАВЛЕНО: (ЦДУ-00592)Конденсаторна установка - код 8532 10 00 00 силові конденсатори
ЦДУ-00594;"Конденсаторна установка КРМ ""ВЕГ"" 0,4 75/5 Індивідуальна ІР31";;;16 904,83;;8532 10 00 00;ВИПРАВЛЕНО: (ЦДУ-00592)Конденсаторна установка - код 8532 10 00 00 силові конденсатори
ЦДУ-00595;"Конденсаторна установка КРМ ""ВЕГ"" 0,4 85/5 нест";;;17 254,83;;8532 10 00 00;ВИПРАВЛЕНО: (ЦДУ-00592)Конденсаторна установка - код 8532 10 00 00 силові конденсатори
ЦДУ-00596;Кондиционер LG;;;1 218,97;;8415 10 90 00;Класифікація: Кондиціонер побутовий LG - код 8415 10 90 00 машини кондиціонування повітря з холодильним пристроєм
ЦДУ-00597;Кондиционер Samsung AR12HQFSAWKNER 1;;;1 516,35;;8415 10 90 00;Аналогія: (ЦДУ-00099)Samsung AR12HQFSAWKNER має код 8415 10 90 00 - кондиціонери Samsung
ЦДУ-00598;Кондиціонер;;;1 117,19;;8415 10 90 00;Аналогія: (ЦДУ-00596)Кондиционер має код 8415 10 90 00 - кондиціонери побутові
ЦДУ-00599;Кондиціонер;;;1 218,97;;8415 10 90 00;Аналогія: (ЦДУ-00596)Кондиционер має код 8415 10 90 00 - кондиціонери побутові
ЦДУ-00600;Кондиціонер;;;1 218,97;;8415 10 90 00;Аналогія: (ЦДУ-00596)Кондиционер має код 8415 10 90 00 - кондиціонери побутові
ЦДУ-00601;Кондиціонер AUX ASW-H09A4 ION;;;783,93;;8415 10 90 00;Класифікація: Кондиціонер побутовий AUX - код 8415 10 90 00 машини кондиціонування повітря
ЦДУ-00602;Кондиціонер AUX ASW-H09A4 ION (3);;;783,93;;8415 10 90 00;Точний збіг: (ЦДУ-00601)Кондиціонер AUX ASW-H09A4 має код 8415 10 90 00 - ідентичний кондиціонер
ЦДУ-00603;Кондиціонер AUX ASW-H09A4 ION(2);;;783,98;;8415 10 90 00;Точний збіг: (ЦДУ-00601)Кондиціонер AUX ASW-H09A4 має код 8415 10 90 00 - ідентичний кондиціонер
ЦДУ-00604;Кондиціонер AUX ASW-H18A4;;;1 451,09;;8415 10 90 00;Аналогія: (ЦДУ-00601)Кондиціонер AUX має код 8415 10 90 00 - кондиціонери AUX
