Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00721;Мережевий фільтр і подовжувач APC Essential SurgeArrest 5 outlets 230V Russia (P5B-RS);;;104,73;;8544 42 90 00;(ЦДУ-00719)Мережевий фільтр і подовжувач має код 8544 42 90 00 - Кабелі електричні інші для напруги не більше 1000 В. Аналог в базі підтверджує правильність класифікації.
ЦДУ-00722;Миючий пилосос IPC Portotecnica MIRAGE 1629;;;2 916,82;;8508 11 00 00;(ЦДУ-00847)Миючий пилосос має код 8508 11 00 00 - Пилососи з двигуном потужністю не більше 1500 Вт. Аналогічна модель MIRAGE ST 1629 в базі підтверджує класифікацію.
ЦДУ-00723;Мікрохвильова піч ERGO EM-2075;;;234,02;;8516 50 00 00;Побутова мікрохвильова піч - код 8516 50 00 00 за аналогією з ЦБ-003415 PANASONIC.
ЦДУ-00724;Мікрохвильова піч GORENJE MO-20 MW;;;276,14;;8516 50 00 00;Побутова мікрохвильова піч - код 8516 50 00 00 за аналогією з ЦБ-003415 PANASONIC.
ЦДУ-00725;Мікрохвильова піч GORENJE MO-20 MW / 2;;;292,39;;8516 50 00 00;Побутова мікрохвильова піч - код 8516 50 00 00 за аналогією з ЦБ-003415 PANASONIC.
ЦБ-003415;Мікрохвильова піч PANASONIC NN-SM221WZPE;8516500000    ;Импортированный товар;1 166,08;Кавоварки та чайники електричні;8516 50 00 00;Код залишається правильний - мікрохвильова піч для побутового використання.
ЦДУ-00726;Міксер Forte HM;;;376,03;;8509 40 00 00;Побутовий кухонний міксер - код 8509 40 00 00 (Подрібнювачі продуктів та змішувачі побутові).
ЦДУ-00727;Міксер TEFAL HT 410138 1;;;137,99;;8509 40 00 00;Побутовий кухонний міксер - код 8509 40 00 00.
ЦБ-003434;Міксер будівельний RZTK MX 1752;8467 29 85 00 ;Импортированный товар;1 399,42;Електричні ручні інструменти;8467 29 85 00;Код залишається правильний - будівельний міксер з вбудованим електродвигуном.
ЦДУ-00728;Міксер СТАЛЬ ЕМ 1670- Р3 ( 68393 );;;275,96;;8509 40 00 00;Побутовий кухонний міксер - код 8509 40 00 00.
ЦДУ-00729;Міні MACH JET с порошковим насосом;;;24 261,91;;8424 49 00 00;Обладнання для нанесення порошкової фарби методом розпилення - код 8424 49 00 00 (Механічні пристрої для розпилення рідин або порошків).
ЦДУ-00730;Модем GSM/GPRS;;;0,01;;8517 62 00 00;Модем для передачі даних через мережу GSM/GPRS - код 8517 62 00 00 (Апаратура для прийому/передачі/відновлення голосу).
ЦДУ-00731;Модем Zyxel ADSL2+з портами Ethernet та USB;;;487,59;;8517 62 00 00;ADSL-модем з мережевими портами - код 8517 62 00 00.
