Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-01251;Установка для сушки пластич.мас Hopper Drver SHD5 №1;;;0,01;;8419 39 00 00;Установка для сушіння пластмас - код 8419 39 00 00 (сушарки для матеріалів промислові)
ЦДУ-01252;Установка для сушки пластич.мас Hopper Drver SHD5 №2;;;0,01;;8419 39 00 00;(ЦДУ-01251)Установка для сушіння пластмас має код 8419 39 00 00
ЦДУ-01253;Установка для фарбування пластич.мас Vertical Ba;;;0,01;;8424 89 00 00;Установка для фарбування - код 8424 89 00 00 (обладнання для нанесення покриттів)
ЦДУ-01254;Установка пробойна УПУ - 10;;;4 583,34;;8462 99 00 00;Пробивна установка - код 8462 99 00 00 (верстати для обробки металу пресуванням)
ЦДУ-01255;Устаткування для контролю електричних параметрів №1;;;17 842,34;;9030 39 00 00;Устаткування контролю параметрів - код 9030 39 00 00 (вимірювальне обладнання електричне)
ЦДУ-01256;Устаткування для контролю електричних параметрів №2;;;17 842,34;;9030 39 00 00;(ЦДУ-01255)Устаткування контролю параметрів має код 9030 39 00 00
ЦДУ-01257;Устаткування для контролю електричних параметрів №3;;;17 842,34;;9030 39 00 00;(ЦДУ-01255)Устаткування контролю параметрів має код 9030 39 00 00
ЦДУ-01258;Устаткування для контролю параметрів №1;;;3 183,59;;9031 80 89 00;Устаткування контролю - код 9031 80 89 00 (прилади вимірювальні)
ЦДУ-01259;Устаткування для контролю параметрів №2;;;3 183,59;;9031 80 89 00;(ЦДУ-01258)Устаткування контролю має код 9031 80 89 00
ЦДУ-01260;Устаткування для контролю параметрів №3;;;3 183,59;;9031 80 89 00;(ЦДУ-01258)Устаткування контролю має код 9031 80 89 00
ЦДУ-01261;Факс Panasonic;;;812,65;;8517 62 00 00;Факс - код 8517 62 00 00 (апаратура для передачі даних)
ЦДУ-01262;Факс PANASONIC KXT-FT 932 UA-B;;;689,52;;8517 62 00 00;(ЦДУ-01261)Факс має код 8517 62 00 00
ЦДУ-01263;Фен будівельний Makita HG5030K;;;260,05;;8467 29 80 00;Будівельний фен - код 8467 29 80 00 (електроінструменти ручні)
ЦДУ-01264;Фільтр -сепаратор 212-05RL Ду 80РУ 6;;;4 640,63;;8421 23 00 00;Фільтр-сепаратор - код 8421 23 00 00 (апаратура для фільтрування газів)
ЦДУ-01265;Флагштоки;;;6 361,63;;9406 90 00 00;Флагштоки - код 9406 90 00 00 (конструкції збірні)
ЦДУ-01266;Флеш пам'ять USB/Kingston Data Traveler Locker + G3 32GB (DTLPG3/32GB);;;277,11;;8523 51 00 00;USB флеш-накопичувач - код 8523 51 00 00 (носії інформації твердотільні)
ЦДУ-01267;Форма для видування тари Кемпінг 400 мл №1;;;3 666,67;;8480 71 00 00;(ЦДУ-00253)Видувна форма для пластику має код 8480 71 00 00
ЦДУ-01268;Форма для видування тари Кемпінг 400 мл №2;;;3 666,67;;8480 71 00 00;(ЦДУ-00253)Видувна форма для пластику має код 8480 71 00 00
ЦДУ-01269;Форма для видування тари Кемпінг 750 мл №1;;;4 583,34;;8480 71 00 00;(ЦДУ-00253)Видувна форма для пластику має код 8480 71 00 00
