Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00266;Висушувач повітря DryAir DK-40;;;6 750,51;;8479 89 97 90;Класифікація: Осушувач повітря промисловий - код 8479 89 97 90 машини з індивідуальними функціями інші
ЦДУ-00267;Висушувач повітря DryAir DK-40(2);;;4 653,32;;8479 89 97 90;Точний збіг: (ЦДУ-00266)Висушувач DryAir DK-40 має код 8479 89 97 90 - ідентичний осушувач повітря
ЦДУ-00268;Висушувач повітря DryAir DK-80;;;14 314,78;;8479 89 97 90;Аналогія: (ЦДУ-00266)Висушувач DryAir має код 8479 89 97 90 - осушувачі повітря серії DryAir
ЦДУ-00269;Висушувач повітря DryAir DK-90;;;43 208,83;;8479 89 97 90;Аналогія: (ЦДУ-00266)Висушувач DryAir має код 8479 89 97 90 - осушувачі повітря серії DryAir
ЦДУ-00270;Висушувач повітря DryAir DK-90;;;8 316,90;;8479 89 97 90;Аналогія: (ЦДУ-00266)Висушувач DryAir має код 8479 89 97 90 - осушувачі повітря серії DryAir
ЦДУ-00271;Витратомір електромагнітний ПРЕМ-UA Dn 65, з індикацією, блоком живлення;;;22 658,80;;9026 10 21 00;Виправлено: Витратомір електромагнітний - код 9026 10 21 00 витратоміри для вимірювання рідин
ЦДУ-00272;Витяжна вентиляційна система топкової цеху №1;;;2 300,18;;8414 59 95 90;Виправлено: Система вентиляційна промислова - код 8414 59 95 90 вентилятори інші
ЦДУ-00273;Витяжна вентиляційна система топкової цеху №2;;;3 526,64;;8414 59 95 90;Точний збіг: (ЦДУ-00272)Вентиляційна система має код 8414 59 95 90 - ідентична система
ЦДУ-00274;Вібратор глибинний електромеханічний ручний JB160 (в зборі);;;4 088,31;;8467 29 85 00;Класифікація: Вібратор будівельний глибинний - код 8467 29 85 00 інструменти електричні інші
ЦДУ-00275;Вібраційна шліфувальна машина Bosch GSS 23 A 1;;;324,90;;8467 29 59 00;Виправлено: Шліфувальна машина вібраційна - код 8467 29 59 00 інші шліфувальні (НЕ стрічкові)
ЦДУ-00276;Відеоспостереження;;;192 565,20;;8525 89 00 90;Виправлено: Система відеоспостереження з IP-камерами - код 8525 89 00 90 цифрові камери інші
ЦДУ-00277;Візок 1;;;0,01;;8716 80 00 00;Класифікація: Візок транспортний промисловий - код 8716 80 00 00 інші транспортні засоби
ЦДУ-00278;Візок 1 Цех №1;;;151,71;;8716 80 00 00;Точний збіг: (ЦДУ-00277)Візок має код 8716 80 00 00 - ідентичний транспортний візок
ЦДУ-00279;Візок 10;;;0,01;;8716 80 00 00;Точний збіг: (ЦДУ-00277)Візок має код 8716 80 00 00 - ідентичний транспортний візок
ЦДУ-00280;Візок 11;;;0,01;;8716 80 00 00;Точний збіг: (ЦДУ-00277)Візок має код 8716 80 00 00 - ідентичний транспортний візок
ЦДУ-00281;Візок 12;;;0,01;;8716 80 00 00;Точний збіг: (ЦДУ-00277)Візок має код 8716 80 00 00 - ідентичний транспортний візок
ЦДУ-00282;Візок 13;;;0,01;;8716 80 00 00;Точний збіг: (ЦДУ-00277)Візок має код 8716 80 00 00 - ідентичний транспортний візок
ЦДУ-00283;Візок 14;;;0,01;;8716 80 00 00;Точний збіг: (ЦДУ-00277)Візок має код 8716 80 00 00 - ідентичний транспортний візок
ЦДУ-00284;Візок 15;;;0,01;;8716 80 00 00;Точний збіг: (ЦДУ-00277)Візок має код 8716 80 00 00 - ідентичний транспортний візок
ЦДУ-00285;Візок 16;;;0,01;;8716 80 00 00;Точний збіг: (ЦДУ-00277)Візок має код 8716 80 00 00 - ідентичний транспортний візок
ЦДУ-00286;Візок 17;;;0,01;;8716 80 00 00;Точний збіг: (ЦДУ-00277)Візок має код 8716 80 00 00 - ідентичний транспортний візок
