Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00902;Пожежний резервуар стержневого цеху;;;3 549,55;;7309 00 10 00;Резервуар металевий для рідин - пожежний резервуар промислового призначення
ЦДУ-00903;Полірувальна машина Sparky РМ 2000Е;;;1 059,99;;8467 29 59 00;(ЦБ-003398)Ексцентрикова шліфмашина DeWalt має код 8467 29 59 00 - полірувальна машина є аналогічним шліфувальним електроінструментом
ЦДУ-00904;Помпа роторна для рідин 1л/хід забірна трубка 32х956мм, шланг 32х1280 мм;;;0,01;;8413 70 30 00;Насос роторний для перекачування рідин - відцентровий насос поршневий
ЦДУ-00905;Пост охорони2;;;12 603,97;;9406 10 00 00;(ЦДУ-00234)Вагончик-прохідна має код - пост охорони є збірною будівельною конструкцією
ЦДУ-00906;Пральна машина;;;568,85;;8450 20 10 00;Пральна машина побутова автоматична
ЦДУ-00907;Пральна машина Bosch WAE 20166 PL;;;1 216,79;;8450 20 10 00;Пральна машина побутова автоматична Bosch
ЦДУ-00908;Прес J23-25A.25T;;;0,01;;8462 21 00 00;Прес механічний кривошипний зусиллям 25 тонн для обробки металу
ЦДУ-00909;Прес J23-40A.40T №1;;;0,01;;8462 21 00 00;Прес механічний кривошипний зусиллям 40 тонн для обробки металу
ЦДУ-00910;Прес J23-40A.40T №2;;;0,01;;8462 21 00 00;Прес механічний кривошипний зусиллям 40 тонн для обробки металу
ЦДУ-00911;Прес JC 21- 100.100T №1;;;0,01;;8462 21 00 00;Прес механічний кривошипний зусиллям 100 тонн для обробки металу
ЦДУ-00912;Прес JC 21- 100.100T №2;;;0,01;;8462 21 00 00;Прес механічний кривошипний зусиллям 100 тонн для обробки металу
ЦДУ-00913;Прес JC 21- 100.100T №3;;;0,01;;8462 21 00 00;Прес механічний кривошипний зусиллям 100 тонн для обробки металу
ЦДУ-00914;Прес JC 21- 160.160T №1;;;0,01;;8462 21 00 00;Прес механічний кривошипний зусиллям 160 тонн для обробки металу
ЦДУ-00915;Прес JC 21- 160.160T №2;;;0,01;;8462 21 00 00;Прес механічний кривошипний зусиллям 160 тонн для обробки металу
