Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00902;Пожежний резервуар стержневого цеху;;;3 549,55;;
ЦДУ-00903;Полірувальна машина Sparky РМ 2000Е;;;1 059,99;;
ЦДУ-00904;Помпа роторна для рідин 1л/хід забірна трубка 32х956мм, шланг 32х1280 мм;;;0,01;;
ЦДУ-00905;Пост охорони2;;;12 603,97;;
ЦДУ-00906;Пральна машина;;;568,85;;
ЦДУ-00907;Пральна машина Bosch WAE 20166 PL;;;1 216,79;;
ЦДУ-00908;Прес J23-25A.25T;;;0,01;;
ЦДУ-00909;Прес J23-40A.40T №1;;;0,01;;
ЦДУ-00910;Прес J23-40A.40T №2;;;0,01;;
ЦДУ-00911;Прес JC 21- 100.100T №1;;;0,01;;
ЦДУ-00912;Прес JC 21- 100.100T №2;;;0,01;;
ЦДУ-00913;Прес JC 21- 100.100T №3;;;0,01;;
ЦДУ-00914;Прес JC 21- 160.160T №1;;;0,01;;
ЦДУ-00915;Прес JC 21- 160.160T №2;;;0,01;;
ЦДУ-00916;Прес JC23- 63.60T №1;;;0,01;;
ЦДУ-00917;Прес JC23- 63.60T №2;;;0,01;;
ЦДУ-00918;Прес JC23- 63.60T №3;;;0,01;;
ЦДУ-00919;Прес JE 25- 250.250T;;;0,01;;
ЦДУ-00920;Прес гідравлічний TRUMPF TRUMATIC TC 500R 1994р.;;;254 000,00;;
ЦДУ-00921;Прес для обжимки кабеля 0,75-2,5 мм.кв.;;;3 574,22;;
ЦДУ-00922;Прес для обжимки кабеля 2,5-4,0 мм.кв.;;;3 574,22;;
ЦДУ-00923;Прес кривошипний;;;6,46;;
ЦДУ-00924;Прес ручний для опресовування каб.наконечників 10-15;;;1 164,17;;
ЦДУ-00925;"Прес форма для кришечок ""Campingaz""";;;11 458,35;;
ЦДУ-00926;Прес форма для лопатки;;;8 340,85;;
ЦДУ-00927;Прес чотириколонний гідравлічний одинарної дії JS-Y27-315T-B;;;0,01;;
ЦДУ-00928;"Прес-форма ""Буфер"" (49 гнізд)";;;0,01;;
ЦДУ-00929;"Прес-форма ""Вкладиш на ручку скла""";;;0,01;;
ЦДУ-00930;"Прес-форма ""Вкладиш під ручку для скла"" s-6 мм (16 гнізд)";;;1 486,97;;
ЦДУ-00931;"Прес-форма ""Вкладиш під ручку для скла"" s-8 мм (16 гнізд)";;;1 486,97;;
ЦДУ-00932;"Прес-форма ""Вкладиш під ручку під метал""";;;0,01;;
ЦДУ-00933;"Пресформа ""Заглушка TL glas"" № 04.005.00.00.000";;;11 802,33;;
ЦДУ-00934;"Прес-форма ""Заглушка TL glas"" № 04.005.00.00.000";;;0,01;;
ЦДУ-00935;"Прес-форма ""Ніжка упору"" (49 гнізд)";;;0,01;;
ЦДУ-00936;"Прес-форма ""Ущільнювач на конфорку 01"" (1 гніздо)";;;0,01;;
ЦДУ-00937;"Прес-форма ""Ущільнювач на конфорку 02"" (2 гнізда)";;;0,01;;
ЦДУ-00938;Пресформа ГТВ (прокладка гумова каністра);;;1 937,01;;
ЦДУ-00939;Пресформа для виготовлення крильчатки витяжки TL - права;;;25 419,84;;
ЦДУ-00940;Прес-форма для виготовлення механічного блоку керування;;;3 306,31;;
ЦДУ-00941;Пресформа для виробництва деталей витяжки WH;;;1 335,51;;
ЦДУ-00942;Пресформа для виробництва корпусу моторної групи витяжки WH;;;69 392,03;;
ЦДУ-00943;Пресформа для виробництва підкладки під кнопки блоку управління похилих витяжок;;;8 551,84;;
ЦДУ-00944;"Пресформа для ГТI ""Гумове кільце""";;;4 010,42;;
ЦДУ-00945;Прес-форма для гумового ущільнювача для LED світильників;;;1 174,48;;
ЦДУ-00946;Прес-форма для гумового ущільнювача для LED світильників 2;;;1 174,48;;
ЦДУ-00947;Пресформа для крильчатки витяжки WH;;;0,01;;
ЦДУ-00948;Пресформа для лиття U-профілю;;;916,67;;
ЦДУ-00949;"Пресформа для РТІ ""заглушка""";;;3 437,50;;
ЦДУ-00950;Пресформа Корпус вимикача TL (1000);;;2 283,37;;
ЦДУ-00951;Пресформа Крильчатка TL ліва;;;25 743,61;;
ЦДУ-00952;Пресформа Крильчатка КН;;;6 850,54;;
ЦДУ-00953;Прес-форма Кришка Кемпинг на дільниці ТПА;;;13 750,02;;
ЦДУ-00954;Прес-форма на відро 12л (12L bucket mould);;;0,01;;
ЦДУ-00955;Прес-форма на відро 20л (20L bucket mould);;;0,01;;
ЦДУ-00956;Прес-форма на кришки для точкових світильників;;;0,01;;
ЦДУ-00957;Пресформа Пластикова деталь для дверей духовки;;;1 712,86;;
ЦДУ-00958;Прес-форма тримач кнопок для TL_;;;14 510,94;;
ЦДУ-00959;Пресформа:магнітоутримувач;;;361,47;;
ЦДУ-00960;Прилад для подачі дроту PF-3;;;4 595,78;;
ЦДУ-00961;Приладдя Вольтрметр D-5015-2-0;;;1 409,38;;
ЦДУ-00962;Приладдя Вольтрметр D-5015-2-0;;;1 409,38;;
ЦДУ-00963;Приладдя Вольтрметр В7-21А;;;1 145,83;;
ЦДУ-00964;Приладдя Вольтрметр В7-21А;;;1 145,83;;
ЦДУ-00965;Принтер 3D;;;1 950,36;;
ЦДУ-00966;"Принтер Citizen CL-S700, термотрансферний, 200 dpi, 4"", індустріальний";;;4 833,22;;
ЦДУ-00967;Принтер GODEX EZ 1100 hlus;;;1 852,84;;
ЦДУ-00968;Принтер GODEX EZ 1100 hlus;;;2 517,99;;
ЦДУ-00969;Принтер GODEX EZ 1100 hlus;;;1 963,04;;
ЦДУ-00970;Принтер GODEX EZ 1100 hlus;;;2 492,19;;
ЦДУ-00971;Принтер GODEX EZ 1100 hlus / 1;;;1 844,71;;
ЦДУ-00972;Принтер GODEX EZ 1100 hlus / 2;;;1 844,71;;
ЦДУ-00973;Принтер HP OfficeJet K7103 A3;;;1 379,59;;
ЦДУ-00974;Принтер LaserJet Р1006;;;839,62;;
ЦДУ-00975;Принтер LaserJet Р1006;;;839,62;;
ЦДУ-00976;Принтер LaserJet Р1006;;;839,62;;
ЦДУ-00977;Принтер LaserJet Р1006;;;839,58;;
ЦДУ-00978;Принтер Sauven 600;;;0,01;;
ЦДУ-00979;Принтер Zebra ZD410 USB, USB Host;;;940,50;;
ЦДУ-00980;Принтер Zebra ZD410 USB, USB Host;;;940,55;;
ЦДУ-00981;Принтер А4 Epson L312;;;805,52;;
ЦДУ-00982;Принтер етикеток Zebra LP2824 б/в;;;513,20;;
ЦДУ-00983;Принтер етикеток Zebra LP2824 б/в (2);;;505,40;;
ЦДУ-00984;Принтер етикеток Zebra LP2824 б/в (3);;;505,36;;
ЦДУ-00985;Принтер НР 2727;;;812,65;;
ЦДУ-00986;Принтер термотрансферний GK4201;;;1 431,24;;
ЦДУ-00987;Пристосування і інструмент металооброб. верстатів;;;73 435,87;;
ЦДУ-00988;Пристрій безперебійного живлення APS Back RS 8001;;;1 000,86;;
ЦДУ-00989;Пристрій безперебійного живлення APS Back RS 8001;;;1 000,82;;
ЦДУ-00990;Пристрій безперебійного живлення APS Back RS 8001;;;1 000,82;;
ЦДУ-00991;Пристрій безперебійного живлення APS Back RS 8001;;;1 000,82;;
ЦДУ-00992;Пристрій безперебійного живлення APS Back RS 8001;;;1 000,86;;
ЦДУ-00993;Пристрій безперебійного живлення APS Back RS 8001;;;945,31;;
ЦДУ-00994;Пристрій безперебійного живлення APS Back RS 8001;;;945,31;;
ЦДУ-00995;Пристрій безперебійного живлення APS Back RS 8001;;;1 000,82;;
ЦДУ-00996;Пристрій безперебійного живлення APS Back RS 8001;;;945,31;;
ЦДУ-00997;Пристрій безперебійного живлення APS Back RS 8001;;;945,31;;
ЦДУ-00998;Пристрій безперебійного живлення APS Back RS 8001;;;945,31;;
ЦДУ-00999;Пристрій для гнуття деталей двері;;;0,01;;
ЦДУ-01000;Пристрій спостереження Teltonika FMB920;;;0,01;;
ЦДУ-01001;Пристрій спостереження за рухомими об'єктами ВІ-530R TREK;;;320,51;;
