Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00814;Нутромер індикаторний НІ-10-18 кл.1;;;907,50;;
ЦДУ-00815;Нутромер індикаторний НІ-18-50 кл.1;;;1 072,50;;
ЦДУ-00816;Обладнання КНС і каналіз.мережі;;;59 538,41;;
ЦДУ-00817;Овочерізка;;;113,61;;
ЦДУ-00818;Одноканальний РОЕ інжектор PFT120;;;277,38;;
ЦДУ-00819;Оптоволоконна лазерна система AFX-500;;;403 013,48;;
ЦДУ-00820;Оснастка для ручних згинальних станікв №1;;;1 090,28;;
ЦДУ-00821;Оснастка для ручних згинальних станікв №2;;;1 090,28;;
ЦДУ-00822;Осушувач повітря МР 0120;;;1 405,66;;
ЦДУ-00823;Охолоджувач води 3Р;;;6 875,01;;
ЦДУ-00824;Пакувальний верстат;;;1 950,36;;
ЦДУ-00825;Паркан;;;2 728,14;;
ЦДУ-00826;Патрон токарний 3-250. 35 14 П;;;463,50;;
ЦДУ-00827;Паяльна станція SOLDER SD 100;;;129,21;;
ЦДУ-00828;Пенал індивідуальний (бук);;;168,53;;
ЦДУ-00829;Пенал індивідуальний (бук);;;168,48;;
ЦДУ-00830;Пенал індивідуальний (бук);;;168,48;;
ЦДУ-00831;Перегородка в лазерной;;;1 616,98;;
ЦДУ-00832;Перетворювач частоти 15кВт 380 В, ESMD153L4TX;;;0,01;;
ЦДУ-00833;Персональний комп'ютер ARTLINE Business B10 v;;;802,91;;
ЦДУ-00834;Персональний комп'ютер ARTLINE Business B21 v0;;;832,98;;
ЦДУ-00835;"Персональний комп'ютер-моноблок Dell Inspiron 3464 23.8""FHD NT IOS Intel";;;4 966,69;;
ЦДУ-00836;Перфоратор Makita HR4001C;;;0,01;;
ЦДУ-00837;Пила Макіta 2414NB;;;1 280,49;;
ЦДУ-00838;Пила Макіta 2414NB;;;1 739,97;;
ЦДУ-00839;Пила Циркулярна MAKITA 5903R;;;1 512,50;;
ЦДУ-00840;Пилесос Metabo ASR50LSC;;;812,65;;
ЦДУ-00841;Пилка ланцюгова бензинова MTD GCS 4100/40+ Ланцюг Oregon, + Мастило 2-тактне MOL dynamic Sprint АХО;;;464,07;;
ЦДУ-00842;Пилка стрічкова по металу;;;3 139,59;;
ЦДУ-00843;Пилка циркулярна DeWalt , ручна ,1600 Вт диск 190х30 мм;;;0,01;;
ЦДУ-00844;Пилосмок мультициклонний ЕVC-3650;;;192,59;;
ЦДУ-00845;Пилосос Metabo ASR 50 L SC;;;3 754,44;;
ЦДУ-00846;Пилосос Metabo ASR 50 L SC;;;3 754,44;;
ЦДУ-00847;Пилосос MIR 1515 230/240-5/6РRT(1.38кВт) з аксес.;;;2 898,96;;
ЦДУ-00848;Пилосос MIRAGE ST 1629 S2/240-5/60;;;2 804,45;;
ЦДУ-00849;Пилосос SS1401, 1250 Вт, 230В, потік повітря 60 л/с 25л. 7,7 кг;;;1 382,70;;
ЦДУ-00850;Пилосос Vertex VR-1600;;;362,95;;
ЦДУ-00851;Підлогова вішалка Новий стиль Cactus Alu;;;81,03;;
ЦДУ-00852;Пірометр AXIOMET AX-7530;;;457,19;;
ЦДУ-00853;Пістолет гарячого повітря DeWalt 1800 Вт;;;0,01;;
ЦДУ-00854;"Пістолет обдув. ""СТАРТ-50""";;;1 604,17;;
ЦДУ-00855;"Пістолет обдув. ""СТАРТ-50""-2";;;2 108,34;;
ЦДУ-00856;Пістолети пневматичні;;;1 762,02;;
ЦДУ-00857;Пістолети пневматичні;;;1 762,02;;
ЦДУ-00858;Пістолети пневматичні;;;1 762,06;;
ЦБ-003352;Піч мікрохвильова побутова Toshiba MW-MM20P(WH)-P;8516500000    ;Импортированный товар;1 341,08;8516500000    ;Кавоварки та чайники електричні
ЦДУ-00859;Піч полімеризації електрична вертикальная авто;;;0,01;;
ЦДУ-00860;Піч сушки перед порошковим фарбуванням електрична;;;0,01;;
ЦДУ-00861;Пічь муфельна СНОЛ 30/1300 И4А;;;5 027,37;;
ЦДУ-00862;ПК-моноблок ASUS V221IDUK-BA011D 21.5FHD/Inter Pen;;;2 619,06;;
ЦДУ-00863;"ПК-моноблок Dell Inspiron 3464 23.8""";;;4 395,93;;
ЦДУ-00864;"ПК-моноблок Dell Inspiron 3464 23.8""";;;4 395,93;;
ЦДУ-00865;"ПК-моноблок HP Pro 3520 20"" Intel G2030 500GB 2GB DVD-RW int WF web kb m DOS";;;3 323,93;;
ЦДУ-00866;"ПК-моноблок HP Pro 3520 20"" Intel G2030 500GB 2GB DVD-RW int WF web kb m DOS";;;3 323,98;;
ЦДУ-00867;Плита РР-Н AlphaPlus сіра екструд. 2000х1000х50 з 1 стор. захисною плівкою;;;2 267,56;;
ЦДУ-00868;Плита РРН сіра екструд. 3000х1500х15 ммз 1 стор. захисною плівкою;;;1 260,46;;
ЦДУ-00869;Плоскошліфовальний станок Euro Omega SG-8035;;;0,01;;
ЦДУ-00870;Пневматична машина для розливу рідини SFGG-100KZ;;;7 260,01;;
ЦДУ-00871;Пневматичний аплікатор W EPX 490 ML;;;966,03;;
ЦБ-001718;"Пневмозаклепочник  JAT 6034   (3\2-3\16(2,4;3,2;4,8)";8467          ;Товар;1 735,83;8467          ;Інструменти ручні з вбудованим електричним або неелектричним двигуном
ЦБ-001719;"Пневмозаклепочник  JAT 6034   (3\2-3\16(2,4;3,2;4,8)";8467          ;Товар;1 735,84;8467          ;Інструменти ручні з вбудованим електричним або неелектричним двигуном
ЦБ-001720;"Пневмозаклепочник  JAT 6034   (3\2-3\16(2,4;3,2;4,8)";8467          ;Товар;1 735,83;8467          ;Інструменти ручні з вбудованим електричним або неелектричним двигуном
ЦБ-003340;"Пневмозаклепочник  JATO YT-36171   (3\2-3\16(2,4;3,2;4,8)";8467190000    ;Импортированный товар;1 575,00;8467190000    ;Дрилі всіх видів з електричним двигуном
ЦБ-003341;"Пневмозаклепочник  JATO YT-36171   (3\2-3\16(2,4;3,2;4,8)";8467190000    ;Импортированный товар;1 575,00;8467190000    ;Дрилі всіх видів з електричним двигуном
ЦБ-003349;"Пневмозаклепочник  JATO YT-36171   (3\2-3\16(2,4;3,2;4,8)";8467190000    ;Импортированный товар;1 575,00;8467190000    ;Дрилі всіх видів з електричним двигуном
ЦБ-003350;"Пневмозаклепочник  JATO YT-36171   (3\2-3\16(2,4;3,2;4,8)";8467190000    ;Импортированный товар;1 575,00;8467190000    ;Дрилі всіх видів з електричним двигуном
ЦБ-003430;"Пневмозаклепочник 3/2-3/16 (2,4;3,2;4,8)";8467190000    ;Импортированный товар;2 583,33;8467190000    ;Дрилі всіх видів з електричним двигуном
ЦБ-003331;"Пневмозаклепочник ANDRMAX AT 6015   (2,4;3,2;4,8)";8467          ;Товар;1 756,66;8467          ;Інструменти ручні з вбудованим електричним або неелектричним двигуном
ЦБ-003332;"Пневмозаклепочник ANDRMAX AT 6015   (2,4;3,2;4,8)";8467          ;Товар;1 756,67;8467          ;Інструменти ручні з вбудованим електричним або неелектричним двигуном
ЦДУ-00872;Пневмозаклепувач 3/2-3/16;;;483,50;;
ЦДУ-00873;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;495,29;;
ЦДУ-00874;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;495,29;;
ЦДУ-00875;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;495,29;;
ЦДУ-00876;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;495,29;;
ЦДУ-00877;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;483,50;;
ЦДУ-00878;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;495,29;;
ЦДУ-00879;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;557,79;;
ЦДУ-00880;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;557,79;;
ЦДУ-00881;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;495,29;;
ЦДУ-00882;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;495,29;;
ЦДУ-00883;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / 1";;;495,29;;
ЦДУ-00884;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / 2";;;495,29;;
ЦДУ-00885;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / 3";;;495,29;;
ЦДУ-00886;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / 4";;;495,29;;
ЦДУ-00887;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / контак. зварка";;;418,35;;
ЦДУ-00888;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / контак. зварюваня 2";;;418,35;;
ЦДУ-00889;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / сварка 1";;;418,35;;
ЦДУ-00890;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / сварка 2";;;418,35;;
ЦДУ-00891;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) зборка";;;521,58;;
ЦДУ-00892;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) зборка 1";;;521,58;;
ЦДУ-00893;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) зборка 2";;;521,58;;
ЦДУ-00894;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) зборка 3";;;521,58;;
ЦДУ-00895;Пневмозаклепувач 3/2-3/16, 1,48;;;483,50;;
ЦБ-001713;ПОВІТРОДУВКА GHG 23-66 +AC;8516 79 70 00 ;Импортированный товар;1 823,33;8516 79 70 00 ;Електротермічні прилади побутові, інші
ЦДУ-00896;Повітронагрівач ПНП211-304;;;0,01;;
ЦДУ-00897;Повітряна елетролінія ПЛ -10кВ;;;3 919,00;;
ЦДУ-00898;Повітряно-гідравлічний прес ЧПУ НРВ 30/1300 NC-E2;;;0,01;;
ЦДУ-00899;Поворотно-згинальний станок МРВ2500х2,5+Запчастини до Поворотно-згинального станка МРВ2500х2,5;;;632 252,83;;
ЦДУ-00900;Пожежний резервуар ливарного цеху;;;3 193,43;;
ЦДУ-00901;Пожежний резервуар механоскладального цеху;;;3 801,66;;
