Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00553;Компресор Aircast СБ4/С-100 LB30A;;;2 919,59;;
ЦДУ-00554;Компресор гвинтовий TIDY 40 B;;;28 847,46;;
ЦДУ-00555;Компресор гвинтовий на ресивері TIDY 15 (13 bar);;;30 461,77;;
ЦДУ-00556;Компресор гвинтовий на ресивері TIDY 15 (13 bar)(2);;;23 331,56;;
ЦДУ-00557;Компресор стаціонарний SEС221-7,5;;;0,01;;
ЦДУ-00558;Компресорна заводу загальною площею 288 кв.м.;;;3 365,57;;
ЦДУ-00559;Компрессор СВ4/С-100LВ50(РМ-3128.00);;;4 262,51;;
ЦДУ-00560;Комп'ютер /Lenovo IdeaCentre C540(57-313081);;;3 712,64;;
ЦДУ-00561;Комп'ютер Asus Vivo AiO V221IDUK-BA012D;;;4 250,45;;
ЦДУ-00562;Комп'ютер Asus Vivo AiO V222GAK-WA003D Silver;;;2 047,88;;
ЦДУ-00563;Комп'ютер BRAIN BUSINESS B300;;;1 313,54;;
ЦДУ-00564;Комп'ютер BRAIN BUSINESS B300;;;1 313,49;;
ЦДУ-00565;Комп'ютер BRAIN ULMATE B50;;;3 604,89;;
ЦДУ-00566;Комп'ютер BRAIN ULMATE B50;;;3 604,93;;
ЦДУ-00567;Комп'ютер BRAIN ULMATE B50;;;3 604,93;;
ЦДУ-00568;Комп'ютер BRAIN ULMATE B50;;;3 604,89;;
ЦДУ-00569;Комп'ютер HP 260 G2 DM;;;151,66;;
ЦДУ-00570;Комп'ютер HP 260 G2 DM;;;1 539,36;;
ЦДУ-00571;Комп'ютер Zalman Z1 (1);;;7 367,67;;
ЦДУ-00572;Комп'ютер Zalman Z1 (2);;;6 981,89;;
ЦДУ-00573;Комп'ютер Іntel P55,DDR3 4096MB, 1000GB,GF210;;;3 382,41;;
ЦДУ-00574;Комп'ютер Іntel P55,DDR3 4096MB, 1000GB,GF210;;;3 382,41;;
ЦДУ-00575;Комп'ютер Іntel P55,DDR3 4096MB, 1000GB,GF210;;;3 382,41;;
ЦДУ-00576;Комп'ютер Іntel P55,DDR3 4096MB, 1000GB,GF210;;;3 382,41;;
ЦДУ-00577;Комп'ютер Іntel P55,DDR3 4096MB, 1000GB,GF210;;;3 382,37;;
ЦДУ-00578;Комутатор HP ProCurve Switch 1700-24(J9080A);;;908,14;;
ЦДУ-00579;Комутатор MikroTik RB951G-2HnD;;;500,64;;
ЦБ-003478;Комутатор Planet  IGS-10020PT;8517620000    ;Импортированный товар;20 217,50;8517620000    ;Апаратура для прийому, перетворення, передавання або відновлення голосу
ЦБ-003479;Комутатор Planet  IGS-10020PT;8517620000    ;Импортированный товар;20 217,50;8517620000    ;Апаратура для прийому, перетворення, передавання або відновлення голосу
ЦБ-003490;Комутатор PLANET GSW-2620HP;8517620000    ;Импортированный товар;12 500,00;8517620000    ;Апаратура для прийому, перетворення, передавання або відновлення голосу
ЦБ-003438;Комутатор Planet IGS-624 HPT IP 30 6-port Gigabit Switch with u-Port 802.3 AT POE+ plus 2-port 100/1;8517620000    ;Импортированный товар;9 983,33;8517620000    ;Апаратура для прийому, перетворення, передавання або відновлення голосу
ЦБ-003439;Комутатор Planet IGS-624 HPT IP 30 6-port Gigabit Switch with u-Port 802.3 AT POE+ plus 2-port 100/1;8517620000    ;Импортированный товар;9 983,34;8517620000    ;Апаратура для прийому, перетворення, передавання або відновлення голосу
ЦДУ-00580;Комутатор Tenda TEG1008D;;;150,52;;
ЦДУ-00581;Комутатор Tenda TEG1008D;;;150,56;;
ЦДУ-00582;Комутатор TP-LINK TL-SF1048;;;533,91;;
ЦДУ-00583;Комутатор TP-LINK TL-SG1016D;;;344,99;;
ЦДУ-00584;Комутатор TP-LINK TL-SG1016D;;;380,51;;
ЦДУ-00585;Комутатор TP-LINK TL-SG1016D;;;380,51;;
ЦДУ-00586;Комутатор TP-LINK TL-SG1088x1GE;;;138,33;;
ЦДУ-00587;Комутатор керований Mikrotik GRS125-24G-1S-RM;;;1 024,79;;
ЦДУ-00588;Комутатор керований Mikrotik GRS125-24G-1S-RM;;;1 032,67;;
ЦДУ-00589;Комутаційна стійка 42U;;;1 161,08;;
ЦДУ-00590;Конвеєрний ланцюг в комплекті;;;72 376,16;;
ЦДУ-00591;Конвектор ТЕРМІЯ ЕВНА-2,0/230 (сш);;;161,38;;
ЦДУ-00592;"Конденсаторна установка КРМ ""ВЕГ"" 0,4 170/5 Індивідуальна ІР31";;;32 617,33;;
ЦДУ-00593;"Конденсаторна установка КРМ ""ВЕГ"" 0,4 50/2 Індивідуальна 3 ІР54";;;15 459,77;;
ЦДУ-00594;"Конденсаторна установка КРМ ""ВЕГ"" 0,4 75/5 Індивідуальна ІР31";;;16 904,83;;
ЦДУ-00595;"Конденсаторна установка КРМ ""ВЕГ"" 0,4 85/5 нест";;;17 254,83;;
ЦДУ-00596;Кондиционер LG;;;1 218,97;;
ЦДУ-00597;Кондиционер Samsung AR12HQFSAWKNER 1;;;1 516,35;;
ЦДУ-00598;Кондиціонер;;;1 117,19;;
ЦДУ-00599;Кондиціонер;;;1 218,97;;
ЦДУ-00600;Кондиціонер;;;1 218,97;;
ЦДУ-00601;Кондиціонер AUX ASW-H09A4 ION;;;783,93;;
ЦДУ-00602;Кондиціонер AUX ASW-H09A4 ION (3);;;783,93;;
ЦДУ-00603;Кондиціонер AUX ASW-H09A4 ION(2);;;783,98;;
ЦДУ-00604;Кондиціонер AUX ASW-H18A4;;;1 451,09;;
ЦДУ-00605;Кондиціонер AUX ASW-H18A4(2);;;1 451,09;;
ЦДУ-00606;Кондиціонер AUX ASW-H24A4;;;1 893,52;;
ЦДУ-00607;Кондиціонер AUX ASW-H24A4(2);;;1 908,23;;
ЦДУ-00608;Кондиціонер Haier;;;1 218,97;;
ЦДУ-00609;Кондиціонер Samsung AR12HQFSAWKNER;;;1 516,35;;
ЦДУ-00610;Кондиціонер Наіеr;;;1 218,97;;
ЦДУ-00611;Контактна точкова зварка Eur Omega DN 25 №1;;;0,01;;
ЦДУ-00612;Контактна точкова зварка Eur Omega DN 25 №2;;;0,01;;
ЦДУ-00613;Контактна точкова зварка Eur Omega DN 25 №3;;;0,01;;
ЦДУ-00614;Контактна точкова зварка Eur Omega DN 25 №4;;;0,01;;
ЦДУ-00615;Контактна точкова зварка Eur Omega DN 25 №5;;;0,01;;
ЦДУ-00616;Копі-картридж Xerox (101R00432) WC 5016/5020;;;589,88;;
ЦДУ-00617;Коректор КПЛГ-1.02Р;;;0,01;;
ЦДУ-00618;"Корпус для 3,5"" HDD/SDD CHIEFTEC External Box CEB-7035S";;;174,53;;
ЦДУ-00619;Котел газовий Атон АОГВД 50х №1;;;3 605,53;;
ЦДУ-00620;Котел газовий Атон АОГВД 50х №3;;;3 605,58;;
ЦДУ-00621;Котел газовый Атон АОГВД 50х №2;;;3 605,58;;
ЦДУ-00622;Котел Е 1,0-0,9Р;;;0,01;;
ЦДУ-00623;Котел КОГВ-96;;;0,01;;
ЦДУ-00624;Котел опалювальний сталевий водогрійний БТС-360 М;;;128 066,58;;
ЦДУ-00625;Котел опалювальний сталевий водогрійний БТС-500 М;;;113 427,81;;
