Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00301;Візок 3;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний TOPEX має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00302;Візок 3 Цех №1;;;151,71;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00303;Візок 30;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00304;Візок 31;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00305;Візок 32;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00306;Візок 33;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00307;Візок 34;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00308;Візок 35;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00309;Візок 36;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00310;Візок 37;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00311;Візок 38;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00312;Візок 39;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00313;Візок 4;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
