Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-01251;Установка для сушки пластич.мас Hopper Drver SHD5 №1;;;0,01;;
ЦДУ-01252;Установка для сушки пластич.мас Hopper Drver SHD5 №2;;;0,01;;
ЦДУ-01253;Установка для фарбування пластич.мас Vertical Ba;;;0,01;;
ЦДУ-01254;Установка пробойна УПУ - 10;;;4 583,34;;
ЦДУ-01255;Устаткування для контролю електричних параметрів №1;;;17 842,34;;
ЦДУ-01256;Устаткування для контролю електричних параметрів №2;;;17 842,34;;
ЦДУ-01257;Устаткування для контролю електричних параметрів №3;;;17 842,34;;
ЦДУ-01258;Устаткування для контролю параметрів №1;;;3 183,59;;
ЦДУ-01259;Устаткування для контролю параметрів №2;;;3 183,59;;
ЦДУ-01260;Устаткування для контролю параметрів №3;;;3 183,59;;
ЦДУ-01261;Факс Panasonic;;;812,65;;
ЦДУ-01262;Факс PANASONIC KXT-FT 932 UA-B;;;689,52;;
ЦДУ-01263;Фен будівельний Makita HG5030K;;;260,05;;
ЦДУ-01264;Фільтр -сепаратор 212-05RL Ду 80РУ 6;;;4 640,63;;
ЦДУ-01265;Флагштоки;;;6 361,63;;
ЦДУ-01266;Флеш пам'ять USB/Kingston Data Traveler Locker + G3 32GB (DTLPG3/32GB);;;277,11;;
ЦДУ-01267;Форма для видування тари Кемпінг 400 мл №1;;;3 666,67;;
ЦДУ-01268;Форма для видування тари Кемпінг 400 мл №2;;;3 666,67;;
ЦДУ-01269;Форма для видування тари Кемпінг 750 мл №1;;;4 583,34;;
ЦДУ-01270;Форма для видування тари Кемпінг 750 мл №2;;;4 583,34;;
ЦДУ-01271;Форма для виробництва корпусу моторної групи (ліва частина);;;5 711,45;;
ЦДУ-01272;Форма для виробництва корпусу моторної групи (права частина);;;5 711,45;;
ЦДУ-01273;Форма для виробництва крильчатки;;;3 598,69;;
ЦДУ-01274;Форма для формування пінопласту 1050x860 mm;;;22 005,07;;
ЦДУ-01275;Форма для формування пінопласту 960x880 mm;;;13 674,76;;
ЦДУ-01276;Фотоапарат цифр. Canon PawerShot A1100 IS ( зарядн. пристрій.-во +2 акум.+карта памяти 4Gb+чехол);;;884,72;;
ЦДУ-01277;"Фотополімерна форма ""Витяжки"" 34 шт.";;;2 070,29;;
ЦДУ-01278;Фотополімерна форма HBE 60 Slim , духовий шкаф;;;828,90;;
ЦДУ-01279;Фотополімерні друкарські форми ЕА 50К;;;1 047,15;;
ЦДУ-01280;Фотополімерні друкарські форми ЕА 50К;;;1 047,15;;
ЦДУ-01281;Фотополімерні друкарські форми ЕА 60К;;;1 162,20;;
ЦДУ-01282;Фотополімерні друкарські форми ЕА 60К;;;1 162,15;;
ЦДУ-01283;Фрезерувальна машина ZH 2200;;;0,01;;
ЦДУ-01284;Холодильник Atlant MXM-2835-95;;;1 054,17;;
ЦДУ-01285;Холодильник BEKO RDSA 290M 20W;;;1 271,14;;
ЦДУ-01286;Холодильник ВЕКО CSK 29000;;;1 749,00;;
ЦДУ-01287;Цех стержнів (цех №2);;;255 823,45;;
ЦБ-003399;Чайник TWK3A011;8516 71 00 00 ;Импортированный товар;495,25;8516 71 00 00 ;Кавоварки та чайники електричні
ЦДУ-01288;Шафа 12U, 600x600x640мм;;;552,11;;
ЦДУ-01289;Шафа відкрита S4-00-19;;;236,81;;
ЦДУ-01290;Шафа відкрита S4-00-19;;;236,81;;
ЦДУ-01291;Шафа для зберігання рамок (шофкографія);;;0,01;;
ЦДУ-01292;Шафа для зберігання рамок (шофкографія)2;;;0,01;;
ЦДУ-01293;Шафа для зберігання рамок (шофкографія)3;;;0,01;;
ЦДУ-01294;Шафа для одягу одинарна ОШ1 30*500*1800, колір сірий(1);;;0,01;;
ЦДУ-01295;Шафа для одягу одинарна ОШ1 30*500*1800, колір сірий(2);;;0,01;;
ЦДУ-01296;Шафа для одягу одинарна ОШ1 30*500*1800, колір сірий(3);;;0,01;;
ЦДУ-01297;Шафа для одягу одинарна ОШ1 30*500*1800, колір сірий(4);;;0,01;;
ЦДУ-01298;Шафа настінна 1-секц. 4U 280*600*400мм;;;808,27;;
ЦДУ-01299;Шафа настінна 1-секц. 6U 370*600*500мм;;;1 071,36;;
ЦДУ-01300;Шафова уст. ШП-2 з РД-50;;;4 354,17;;
ЦДУ-01301;Швонарізчик Masalta MF14-4;;;2 248,45;;
ЦДУ-01302;Шинний міст (дляЛЕП);;;3 093,75;;
ЦДУ-01303;Шинний міст (дляЛЕП)2;;;3 093,75;;
