Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00627;Крісло Веб сидіння Сітка чорна/ спинка Сітка сіра;;;247,13;;
ЦДУ-00628;Крісло Веб сидіння Сітка чорна/ спинка Сітка сіра;;;241,95;;
ЦДУ-00629;Крісло Веб сидіння Сітка чорна/ спинка Сітка сіра;;;241,95;;
ЦДУ-00630;Крісло Новий стиль York P ECO-01;;;461,77;;
ЦДУ-00631;Крісло соната С-38;;;165,17;;
ЦДУ-00632;Крісло соната С-38;;;165,17;;
ЦДУ-00633;Крісло соната С-38;;;165,17;;
ЦДУ-00634;Кромкообрізний і згинальний станок (б/у 2009);;;55 336,24;;
ЦДУ-00635;КСО-366-01-630;;;9 820,54;;
ЦДУ-00636;КСО-366-01-630_;;;9 820,54;;
ЦДУ-00637;КСО-366-04-630;;;4 197,74;;
ЦДУ-00638;КСО-366-04-630 (1);;;4 197,70;;
ЦДУ-00639;КСО-366-04-630_;;;4 197,74;;
ЦДУ-00640;КСО-366-04-630_;;;4 197,74;;
ЦДУ-00641;КСО-366-10-630;;;8 879,67;;
ЦДУ-00642;КСО-366-10-630_;;;8 879,67;;
ЦДУ-00643;Кутова полірувальна машинка WPO 12-27 Е;;;20 805,47;;
ЦБ-001721;Кутова шліфмашина  Bosch Professional GWS 9-125 S(0601396102);8467295100    ;Импортированный товар;1 286,67;8467295100    ;Дрилі всіх видів з електричним двигуном
ЦБ-001722;Кутова шліфмашина  Bosch Professional GWS 9-125 S(0601396102);8467295100    ;Импортированный товар;1 286,67;8467295100    ;Дрилі всіх видів з електричним двигуном
ЦДУ-00644;Кутова шліфмашина Bosch GWS 9-125 S;;;401,29;;
ЦДУ-00645;Кутова шліфмашина Bosch GWS 9-125 S {2};;;401,29;;
ЦДУ-00646;Кутова шліфмашина Bosch Professional GWS 13-125 CIЕ -1;;;516,15;;
ЦДУ-00647;Кутова шліфмашина GWS 11-125;;;401,29;;
ЦДУ-00648;Кутова шліфмашина GWS 11-125;;;401,29;;
ЦДУ-00649;Кутова шліфмашина GWS 9-125S / лазер;;;368,78;;
ЦДУ-00650;Кутова шліфмашина GWS 9-125S/1;;;372,03;;
ЦДУ-00651;Кутова шліфмашина GWS 9-125S/2;;;372,03;;
ЦДУ-00652;Кутова шліфмашина GWS 9-125S/електрики;;;332,78;;
ЦДУ-00653;Кутова шліфмашина Makita 9565VR;;;592,42;;
ЦБ-003416;Кутомір маятниковий 3 УРИ-М (0-360 град.);9017 30 00 00 ;Импортированный товар;3 892,50;9017 30 00 00 ;Мікрометри, штангенциркулі та калібри
ЦБ-003346;Кутомір універсальний оптичний У-127 (0-360 град.);9031499000    ;Импортированный товар;1 253,33;9031499000    ;Прилади вимірювальні або контрольні оптичні
ЦДУ-00654;Кухня (КТБ);;;4 940,90;;
ЦДУ-00655;Кухня (цех №2);;;2 443,93;;
ЦДУ-00656;Кухня для столової заводу;;;2 260,27;;
ЦДУ-00657;Лазерна розкрійна установка;;;29 483,96;;
ЦДУ-00658;Лазерний станок 10 Вт;;;11 423,38;;
ЦДУ-00659;Ламінатор Agent LM-A4 250 MD 3010218;;;527,82;;
ЦДУ-00660;Лещата слюсарні 250мм (7200-3223) поворотні сталеві;;;2 291,67;;
ЦДУ-00661;Лещата слюсарні 250мм (7200-3223) поворотні сталеві;;;1 706,84;;
ЦБ-003314;Лещата слюсарні поворотні 150 мм;8205 70 00 00 ;Импортированный товар;735,00;8205 70 00 00 ;Лещата, затискачі та аналогічні вироби
ЦДУ-00662;Лещата слюсарні стальн. Т-200 С;;;797,59;;
ЦДУ-00663;Ліжко двухярусне з металевими спинками;;;226,19;;
ЦДУ-00664;Ліжко двухярусне з металевими спинками;;;226,14;;
ЦДУ-00665;Лінія електропередач (ЛЕП);;;70 447,10;;
ЦДУ-00666;Лінія з виробництва садових шлангів;;;0,01;;
ЦДУ-00667;Ліч. газ G25 GMS ф40 у 2 1:100;;;3 556,67;;
ЦДУ-00668;Лічильник EMS 134.41.4 (AR+/-MR);;;2 131,25;;
ЦДУ-00669;Лічильник газу ДУ 32 УЗ1;;;2 108,34;;
ЦДУ-00670;Лічильник газу ДУ 4042;;;3 726,26;;
ЦДУ-00671;Лічильник газу мембранный Г-10;;;2 649,17;;
ЦДУ-00672;Лічильник довжини СД-21 С (з подачею сигн.);;;1 183,01;;
ЦДУ-00673;Лічильник електроенергії 3 фазний/1;;;6 381,70;;
ЦДУ-00674;Лічильник електроенергії 3 фазний/2;;;6 381,70;;
ЦДУ-00675;Лоток А3 XEROX WC 5016;;;1 031,25;;
ЦДУ-00676;Маршрутизатор Mikrotik RB951G-2HnD;;;506,09;;
ЦДУ-00677;Маршрутизатор Mikrotik RB951G-2HnD;;;519,66;;
ЦДУ-00678;Маршрутизатор Mikrotik RB951G-2HnD;;;523,65;;
ЦДУ-00679;Маршрутизатор Mikrotik RB951G-2HnD;;;485,15;;
ЦДУ-00680;Маршрутизатор Mikrotik RB951G-2HnD;;;421,71;;
ЦДУ-00681;Маршрутизатор RouterBOARD 951Ui-2HnD (RouterOS L4) with power supply and case (EU);;;352,96;;
ЦДУ-00682;Маршрутизатор безпровідний Mikrotik Routerboard RB951G-2HnD;;;502,33;;
ЦДУ-00683;Масляний радіатор ELECTROLUX Shere EOH/M-6221;;;324,90;;
ЦДУ-00684;Масляний радіатор ТЕРМІЯ DF-150P3-7;;;154,24;;
ЦДУ-00685;Масляний радіатор ТЕРМІЯ Н1020;;;242,17;;
ЦДУ-00686;Масляний радіатор ТЕРМІЯ Н1120;;;219,42;;
ЦДУ-00687;Масляний радіатор ТЕРМІЯ С45-7F;;;144,65;;
ЦДУ-00688;Матриця М.536.88.MOD.235;;;910,17;;
ЦДУ-00689;Матриця М.536.88.СС;;;0,01;;
ЦДУ-00690;Матриця М.537.88.MOD.600;;;910,17;;
ЦДУ-00691;Матриця М.537.88.СС;;;0,01;;
ЦБ-003383;Мачсляний радіатор ТЕРМІЯ Н0715;8516 29 10 00 ;Импортированный товар;985,25;8516 29 10 00 ;Радіатори опалення електричні
ЦДУ-00692;Машина для дріблення пластмаси;;;0,01;;
ЦДУ-00693;Машина для збалансування крильчатки;;;27 754,92;;
ЦДУ-00694;Машина для пакування №1;;;1 983,49;;
ЦДУ-00695;Машина для пакування коробок (1);;;9 753,53;;
ЦДУ-00696;Машина для пакування коробок (2);;;9 753,48;;
ЦДУ-00697;Машина для пакування коробок скотчем;;;9 901,07;;
ЦДУ-00698;Машина для розмотування дроту ZDBX-1;;;5 514,93;;
ЦДУ-00699;Машина для розмотування дроту ZDBX-10;;;21 140,59;;
ЦДУ-00700;Машина для сверління отворів ( Hole screw machine);;;13 736,62;;
ЦДУ-00701;Машина для установки скоб 30 мм;;;521,42;;
ЦДУ-00702;Машина затиральна Biedronka ZB90K, двигун GX160,60-100 об/хв,диам. 980мм,85 кг;;;13 582,62;;
ЦДУ-00703;Машина затиральна СО-170 ,2,2 КВТ;;;0,01;;
ЦДУ-00704;Машина затиральна СО-170 ,3,1 КВТ;;;0,01;;
ЦДУ-00705;Машина мозаічно-шліф. СО-199;;;0,01;;
ЦДУ-00706;Машина снігоприбиральна W EXPERT 13076 HDT;;;6 926,39;;
ЦДУ-00707;Машина шліфувальна Sparky MKL 710 CE;;;834,26;;
ЦДУ-00708;Машина шліфувальна WFE450;;;1 973,45;;
ЦДУ-00709;Меблі для КП;;;1 663,29;;
ЦДУ-00710;Мегаометр UT512;;;930,91;;
ЦДУ-00711;Мегаомметр ЕСО-210/2г.;;;4 147,92;;
ЦДУ-00712;Мегаомметр прилад ЕС 0202/2-Г;;;601,56;;
ЦДУ-00713;Мережеве сховище QNAP TS-231P;;;3 061,35;;
ЦДУ-00714;Мережевий фільтр PowerPlant 5м 5 розеток;;;33,32;;
ЦДУ-00715;Мережевий фільтр PowerPlant 5м 5 розеток;;;33,32;;
ЦДУ-00716;Мережевий фільтр PowerPlant 5м 5 розеток;;;33,37;;
ЦДУ-00717;Мережевий фільтр PowerPlant 5м 5 розеток;;;33,37;;
ЦДУ-00718;Мережевий фільтр PowerPlant 5м 5 розеток;;;33,32;;
ЦДУ-00719;Мережевий фільтр і подовжувач APC Essential SurgeArrest 5 outlets 230V Russia (P5B-RS);;;195,04;;
ЦДУ-00720;Мережевий фільтр і подовжувач APC Essential SurgeArrest 5 outlets 230V Russia (P5B-RS);;;104,68;;
