Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00166;Акумуляторний Шурупокрут BOSCH Li-lon GSR 1800-LI 4;;;577,31;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти
ЦДУ-00167;Акумуляторный шурупокрут BOSCH Li-lon GSR 1800-LI 5;;;577,31;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти
ЦДУ-00168;Акустична система Sven 312 black;;;42,58;8518 22 00 00;Класифікація: Акустична система - код 8518 22 00 00 як гучномовці та комплектні звукові системи
ЦДУ-00169;Акустична система Sven 312 black;;;42,58;8518 22 00 00;Класифікація: Акустична система - код 8518 22 00 00 як гучномовці та комплектні звукові системи
ЦДУ-00170;Акустична система Sven 312 black;;;42,63;8518 22 00 00;Класифікація: Акустична система - код 8518 22 00 00 як гучномовці та комплектні звукові системи
ЦДУ-00171;Акустична система Sven 312 black;;;42,58;8518 22 00 00;Класифікація: Акустична система - код 8518 22 00 00 як гучномовці та комплектні звукові системи
ЦДУ-00172;Акустична система Sven 312 black;;;42,58;8518 22 00 00;Класифікація: Акустична система - код 8518 22 00 00 як гучномовці та комплектні звукові системи
ЦДУ-00173;Апарат для аргонового зварювання №1;;;4 685,14;8515 31 00 00;Класифікація: Апарат аргонового зварювання - код 8515 31 00 00 для установок дугового зварювання
ЦДУ-00174;Апарат для аргонового зварювання №2;;;4 685,14;8515 31 00 00;Класифікація: Апарат аргонового зварювання - код 8515 31 00 00 для установок дугового зварювання
ЦДУ-00175;Апарат для зварювання Picomig 180 puls TGE №1;;;26 261,69;8515 31 00 00;Класифікація: Інверторний апарат дугового зварювання - код 8515 31 00 00
ЦДУ-00176;Апарат для зварювання Picomig 180 puls TGE №2;;;0,01;8515 31 00 00;Класифікація: Інверторний апарат дугового зварювання - код 8515 31 00 00
ЦДУ-00177;Апарат для зварювання Tetrix 200 Comfort 8P GE;;;0,01;8515 31 00 00;Класифікація: Інверторний апарат дугового зварювання - код 8515 31 00 00
ЦДУ-00178;Апарат для зварювання Tetrix 200 Comfort 8P GE(на духовки);;;5 898,18;8515 31 00 00;Класифікація: Інверторний апарат дугового зварювання - код 8515 31 00 00
