Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00456;"Загорожа колюче-ріжуча спіральна ""Єгоза-Кайман"" 3";;;91 310,99;;
ЦДУ-00457;Заземление переносное ЗПЛ-10/10кВт/;;;4 048,69;;
ЦДУ-00458;Заземлення переносне ЗПП-15/10 кВт /;;;3 994,29;;
ЦБ-003271;Заклепувальний інструмент GO-6-SP;8205          ;Товар;2 710,00;8205          ;Інструменти ручні, включаючи алмазні стеклорізи
ЦБ-003272;Заклепувальний інструмент GO-6-SP;8205          ;Товар;2 710,00;8205          ;Інструменти ручні, включаючи алмазні стеклорізи
ЦБ-003273;Заклепувальний інструмент GO-6-SP;8205          ;Товар;2 710,00;8205          ;Інструменти ручні, включаючи алмазні стеклорізи
ЦДУ-00459;Заклепувальний інструмент GO-6-SP;;;748,50;;
ЦДУ-00460;Заклепувальний інструмент GO-6-SP;;;748,50;;
ЦДУ-00461;Заклепувальний інструмент GO-6-SP;;;748,50;;
ЦДУ-00462;Заклепувальний інструмент GO-6-SP;;;703,38;;
ЦДУ-00463;Заклепувальний інструмент GO-6-SP;;;703,38;;
ЦДУ-00464;Заклепувальний інструмент GO-6-SP;;;703,38;;
ЦДУ-00465;Заклепувальний інструмент GO-6-SP;;;703,38;;
ЦДУ-00466;Заклепувальний інструмент GO-6-SP;;;703,38;;
ЦДУ-00467;Запайщик плівки ПКИ 800С;;;1 832,01;;
ЦДУ-00468;Збірна лінія конвеєрного типу №1 ремонт;;;170 028,65;;
ЦДУ-00469;Збірна лінія конвеєрного типу №2;;;170 028,65;;
ЦДУ-00470;Зварювальна колона;;;0,01;;
ЦДУ-00471;Зварювальний апарат;;;2 415,05;;
ЦДУ-00472;Зварювальний апарат ММА-200;;;1 420,84;;
ЦДУ-00473;Зварювальний апарат-інвертор Патон ПСІ-200S DS (4005039);;;1 950,19;;
ЦДУ-00474;Зварювальний верстат (комплект);;;70 478,25;;
ЦДУ-00475;Зварювальний інветор Edion MMA-301 maxi;;;0,01;;
ЦДУ-00476;Зварювач настільний з довжиною шва 900 мм;;;787,23;;
ЦДУ-00477;Згинальний верстат (Bending machine);;;8 621,85;;
ЦДУ-00478;Земельна ділянка, 0.851 га, кадастровий номер 3211300000:69:034:0061;;;55 000,00;;
ЦДУ-00479;Земельна ділянка, 9.8335 га, кадастровий номер: 3211300000:69:034:0058;;;1 049 971,22;;
ЦДУ-00480;Земельна ділянка, Києво-Святошинський р-н 1,3227га, кадастровий номер: 3222486600:04:004:0042;;;840 972,66;;
ЦДУ-00481;Земельна ділянка, Києво-Святошинський р-н 1,3236 га, кадастровий номер: 3222486600:04:004:0041;;;841 544,88;;
ЦДУ-00484;Змішувач 100 МН;;;2 291,67;;
ЦДУ-00485;Знімач гідравлічний з виносним насосом ЗГ2-20;;;1 945,48;;
ЦБ-003474;Зчитувач GC-01;8471 60 70 00 ;Импортированный товар;12 271,00;8471 60 70 00 ;Пристрої введення або виведення даних
ЦБ-003476;Зчитувач GC-01;8471 60 70 00 ;Импортированный товар;12 271,00;8471 60 70 00 ;Пристрої введення або виведення даних
ЦДУ-00486;Індикатор годинникового типу МІКРОТЕХ ИЧ-10,-0,01 КЛ.1;;;151,20;;
ЦДУ-00487;Індікатор чергування фаз KS-1;;;2 291,67;;
ЦДУ-00488;Інструмент для нарізки і зачищення дротів SWT-508;;;4 713,36;;
ЦДУ-00489;Інструмент пресовий (фильера);;;7 161,47;;
ЦДУ-00490;Інструмент пресовий (фільєра) ПТЗ-487;;;0,01;;
ЦДУ-00491;Інтсрумент верхній на просічно-витяжну машину;;;967,83;;
ЦДУ-00492;Інтсрумент верхній на просічно-витяжну машину (2);;;967,83;;
ЦДУ-00493;Інтсрумент нижній на просечнo-витяжну машину;;;967,82;;
ЦДУ-00494;Інтсрумент нижній на просечнo-витяжну машину (2);;;967,82;;
ЦДУ-00495;Інфрачервоний пірометр Laserliner ThermoSport Plus;;;406,65;;
ЦДУ-00496;КАВО МАШИНА DELO NGHI ECAM650.75;;;2 194,92;;
ЦДУ-00497;Камера порошкового фарбування двухпостова ручна КН-;;;0,01;;
ЦДУ-00498;Камера порошкового фарбування двухпостова ручна КН-;;;705,61;;
ЦДУ-00499;Каркас візка ВВ 4/2 (1200х800мм);;;867,49;;
ЦДУ-00500;Каркас візка ВВ 4/2 (1200х800мм)10;;;874,23;;
ЦДУ-00501;Каркас візка ВВ 4/2 (1200х800мм)11;;;874,23;;
ЦДУ-00502;Каркас візка ВВ 4/2 (1200х800мм)12;;;874,23;;
ЦДУ-00503;Каркас візка ВВ 4/2 (1200х800мм)2;;;867,44;;
ЦДУ-00504;Каркас візка ВВ 4/2 (1200х800мм)3;;;874,23;;
ЦДУ-00505;Каркас візка ВВ 4/2 (1200х800мм)4;;;874,23;;
ЦДУ-00506;Каркас візка ВВ 4/2 (1200х800мм)5;;;874,23;;
ЦДУ-00507;Каркас візка ВВ 4/2 (1200х800мм)6;;;874,23;;
ЦДУ-00508;Каркас візка ВВ 4/2 (1200х800мм)7;;;874,23;;
ЦДУ-00509;Каркас візка ВВ 4/2 (1200х800мм)8;;;874,23;;
ЦДУ-00510;Каркас візка ВВ 4/2 (1200х800мм)9;;;874,23;;
ЦДУ-00511;Картридж HP LJ Pro MFP M426 (CF226X) Eco Line;;;647,44;;
ЦДУ-00512;"КД і прес-форма на деталь ""Засувка""";;;24 792,66;;
ЦДУ-00513;"КД і прес-форма на деталь ""коробка+стопор""";;;50 654,38;;
ЦДУ-00514;"КД і прес-форма на деталь ""корпус+кришка""";;;40 415,93;;
ЦДУ-00515;"КД і прес-форма на деталь ""Кронштейн+ накладка па""";;;34 171,87;;
ЦДУ-00516;"КД і прес-форма на деталь ""Куточок""";;;18 561,70;;
ЦДУ-00517;"КД і прес-форма на деталь ""Панель перемикача""";;;41 255,51;;
ЦДУ-00518;"КД і прес-форма на деталь ""Равлик""";;;83 894,91;;
ЦДУ-00519;"КД і прес-форма на деталь ""Ротор D140X55""";;;55 120,98;;
ЦДУ-00520;"КД і прес-форма на деталь ""Скло""";;;20 995,04;;
ЦДУ-00521;Кліше Margarita 640*610*550;;;926,75;;
ЦДУ-00522;Кліше Villa;;;1 289,06;;
ЦДУ-00523;Кліше Villa;;;1 289,06;;
ЦДУ-00524;Кліше WildWind;;;1 346,13;;
ЦДУ-00525;Кліше WildWind;;;1 346,13;;
ЦДУ-00526;Кліше для друку (IcePack 750, 400);;;762,30;;
ЦДУ-00527;Кліше для друку (Торнадо);;;1 098,03;;
ЦДУ-00528;Кліше для друку емальованої поверхні;;;860,11;;
ЦДУ-00529;Кліше для друку емальованої поверхні;;;480,79;;
ЦДУ-00530;Кліше для друку Кемпінгаз М10, шт 1;;;599,15;;
ЦДУ-00531;Кліщі-ватметр ВМ-155;;;6 875,01;;
