Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-01101;Стелаж (секція 56);;;2 459,91;;
ЦДУ-01102;Стелаж (секція 5-7);;;8 949,02;;
ЦДУ-01103;Стелаж (секція 57-61);;;22 269,06;;
ЦДУ-01104;Стелаж (секція 8-11-20-23);;;23 830,23;;
ЦДУ-01105;Стелаж складський;;;22 375,10;;
ЦДУ-01106;Стелаж складський (конструкція);;;125 570,58;;
ЦДУ-01107;"Стенд контролю поклейки скла ""на відрив"" поклейка скла";;;1 312,73;;
ЦДУ-01108;Стіл;;;546,73;;
ЦБ-003202;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна)";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-003204;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 10";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-003205;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 11";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-003206;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 12";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-003207;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 13";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-003208;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 14";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-003209;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 15";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-003210;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 16";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-003211;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 17";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-003212;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 18";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-003213;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 19";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-001671;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 2";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-003214;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 20";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-003215;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 21";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-003216;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 22";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-001672;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 3";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-001673;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 4";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-001674;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 5";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-001675;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 6";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-001676;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 7";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-001677;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 8";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦБ-003203;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 9";9403          ;Товар;1 000,00;9403          ;Меблі інші та їх частини
ЦДУ-01109;Стіл 1;;;3 848,82;;
ЦДУ-01110;Стіл 2;;;2 707,46;;
ЦДУ-01111;Стіл 3;;;2 762,84;;
ЦДУ-01112;Стіл 4;;;3 312,08;;
ЦДУ-01113;Стіл 5;;;4 400,83;;
ЦДУ-01114;Стіл вібраційний просівний;;;274,27;;
ЦДУ-01115;Стіл для збирання дверей мод. 105-308;;;669,99;;
ЦДУ-01428;Стіл для склейки дверей мод. 105-308;;;0,01;;
ЦДУ-00081;Стіл для установки рамки шафи;;;0,01;;
ЦДУ-01116;Стіл Індивідуальний (дуб родосс світлий);;;589,46;;
ЦДУ-01117;Стіл Індивідуальний (дуб родосс світлий);;;589,51;;
ЦДУ-01118;Стіл комбінований;;;835,59;;
