Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-01177;Тепловентилятор 12/6 кВт №4;;;1 176,08;;
ЦДУ-01178;Тепловентилятор 12/6 кВт №5;;;1 176,08;;
ЦДУ-01179;Тепловентилятор Термія-9000 380В;;;57 750,08;;
ЦДУ-01180;"Теплогенератор ""Дракон-100"" 10";;;3 491,51;;
ЦДУ-01181;"Теплогенератор ""Дракон-200""";;;1 444,71;;
ЦДУ-01182;"Теплогенератор ""Дракон-200"" -1";;;3 491,51;;
ЦДУ-01183;"Теплогенератор ""Дракон-200"" 11";;;0,01;;
ЦДУ-01184;"Теплогенератор ""Дракон-200"" -2";;;3 491,51;;
ЦДУ-01185;"Теплогенератор ""Дракон-200"" -3";;;3 491,51;;
ЦДУ-01186;"Теплогенератор ""Дракон-200""12";;;0,01;;
ЦДУ-01187;Теплогенератор для обігріву приміщень 200 кВт (1);;;16 821,00;;
ЦДУ-01188;Теплогенератор для обігріву приміщень 200 кВт (2);;;16 821,00;;
ЦДУ-01189;Теплообмінник пластинчатий ФП 04-Т-11 №1;;;2 342,09;;
ЦДУ-01190;Теплообмінник пластинчатий ФП 04-Т-11 №2;;;2 342,09;;
ЦДУ-01191;Термінал даних MC3090G, Laser, Color. 48 кл., СЕ5.0 БВ;;;2 326,50;;
ЦДУ-01192;Термінал збору даних MC32N0 GUN 1D SE96X. A/B/G/N BT 512MB RA2GB ROM/М 28K HIGH CAPACITY BATT;;;6 491,38;;
ЦДУ-01193;Термінал збору даних MC32N0 GUN 1D SE96X. A/B/G/N BT 512MB RA2GB ROM/М 28K HIGH CAPACITY BATT;;;5 704,38;;
ЦДУ-01194;Термінал збору даних MC32N0 Gun, 1D SE96x, a/b/g/n, BT, 512MB RAM/2GB ROM, 28K, High Capacity Batt;;;6 257,38;;
ЦДУ-01195;Термінал збору даних MC32N0 Gun, 1D SE96x, a/b/g/n, BT, 512MB RAM/2GB ROM, 28K, High Capacity Batt;;;6 257,38;;
ЦДУ-01196;Термінал збору даних MC32N0 Gun, 1D SE96x, a/b/g/n, BT, 512MB RAM/2GB ROM, 28K, High Capacity Batt;;;5 370,30;;
ЦДУ-01197;Термінал МС3190G, лазерний кольоровий, 28 кнопок;;;7 742,18;;
ЦДУ-01198;Термопласт автомат DKM500, 500т (DKM500 Standart Injection Machine with B screw);;;0,01;;
ЦДУ-01199;Термопластавтомат 150Т;;;0,01;;
ЦДУ-01200;Термопластавтомат 150Т EuroOmega L-120;;;0,01;;
ЦДУ-01201;Термопластавтомат 240Т;;;194 283,04;;
ЦДУ-01202;Термопластавтомат 360Т;;;251 377,56;;
ЦДУ-01203;Термопластавтомат 80Т EuroOmega L-88;;;0,01;;
ЦБ-001714;Термопот MYSTERY MTP-2442;8516 71 00 00 ;Импортированный товар;758,33;8516 71 00 00 ;Кавоварки та чайники електричні
ЦБ-001707;Термопот MYSTERY MTP-2442 -1;8516 71 00 00 ;Импортированный товар;758,33;8516 71 00 00 ;Кавоварки та чайники електричні
ЦБ-001708;Термопот ROTEX RTP350-U - 2;8516 79 70 00 ;Импортированный товар;466,67;8516 79 70 00 ;Електротермічні прилади побутові, інші
ЦДУ-01204;Термотрансферний принтер етикеток ZEBRA TLP 3844-Z канбани;;;677,93;;
ЦДУ-01205;Термотунель ТТ-15-ПАП;;;0,01;;
ЦДУ-01206;Термотунель УМТ Мегапак;;;3 087,84;;
ЦДУ-01207;Термофен Metabo HE 23-650 Control;;;398,20;;
ЦДУ-01208;Тестовий стіл лінії для збирання газових поверхностей;;;0,01;;
ЦДУ-01209;Тестовое обаднання для лінії збирання;;;0,01;;
ЦДУ-01210;Тестовое обаднання для лінії збирання;;;0,01;;
ЦДУ-01211;Тонер-картридж Xerox (106R01277) WC 5016/5020;;;279,99;;
ЦДУ-01212;Тонер-картридж Xerox (106R01277) WC 5016/5020(3);;;295,03;;
ЦДУ-01213;Точильно-шліфувальний верстат моделі 3К632, б/в інв.№ 898;;;2 291,67;;
ЦДУ-01214;"Точка доступу (зовнішня) MikroTik RBwAP2nD ""wAP (White)""";;;380,51;;
ЦДУ-01215;"Точка доступу (зовнішня) MikroTik RBwAP2nD ""wAP (White)""";;;380,51;;
ЦДУ-01216;Транспортер стрічковий 16000 мм х 1300 мм (1);;;58 259,01;;
ЦДУ-01217;Транспортер стрічковий 16000 мм х 1300 мм (2);;;58 259,01;;
ЦДУ-01218;Транспортер стрічковий 16000 мм х 1300 мм (3);;;58 259,00;;
ЦДУ-01219;Транспортер стрічковий 16000 мм х 1300 мм (4);;;447 273,38;;
ЦДУ-01220;Транспортер стрічковий 6000 мм;;;28 291,75;;
ЦДУ-01221;Транспортна каретка №1;;;861,67;;
ЦДУ-01222;Транспортна каретка №1;;;869,69;;
ЦДУ-01223;Транспортна каретка №2;;;861,67;;
ЦДУ-01224;Транспортна каретка №2;;;869,69;;
ЦДУ-01225;Транспортна каретка №3;;;869,69;;
ЦДУ-01226;Транспортна каретка №4;;;869,69;;
ЦДУ-01227;Трансформатор зварювальний СТШ-252 (220В/380 В) СГД;;;0,01;;
ЦДУ-01228;Трансформатор НТМІ-10;;;2 811,65;;
ЦДУ-01229;Трансформатор СТШ-252/220+380В/пер/пост;;;3 465,00;;
ЦДУ-01230;Трансформатор СТШ-256 250В/220+380В/;;;2 543,75;;
ЦДУ-01231;Трансформатор СТШ-401 СГД;;;4 647,51;;
ЦДУ-01232;Трансформатор ТМ - 1000/10/0,4_;;;50 416,73;;
ЦДУ-01233;Трансформатор ТМ - 1000/10/0,4_;;;50 416,73;;
ЦДУ-01234;Трансформатор ТМ 160;;;1 177,92;;
ЦДУ-01235;Трансформатор ТОЛ-10 100/5 кл. т.0,5s;;;0,01;;
ЦДУ-01236;Трансформатор ТОЛ-10 100/5 кл. т.0,5s;;;0,01;;
ЦДУ-01237;Трансформатор ТС31-4,0 (380/36В);;;999,17;;
ЦДУ-01238;Триборозпилювач русний до УРН-2;;;9 777,78;;
ЦДУ-01239;Тумба індивідуальна (дуб родосс світлий);;;689,15;;
ЦДУ-01240;"Тумба офісна ""ОН-37/3 стандарт (венге)";;;205,36;;
ЦБ-003085;"Тумба офісна ""ОН-37/3 стандарт (венге) 1";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003093;"Тумба офісна ""ОН-37/3 стандарт (венге) 10";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003094;"Тумба офісна ""ОН-37/3 стандарт (венге) 11";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003095;"Тумба офісна ""ОН-37/3 стандарт (венге) 12";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003096;"Тумба офісна ""ОН-37/3 стандарт (венге) 13";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003097;"Тумба офісна ""ОН-37/3 стандарт (венге) 14";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003098;"Тумба офісна ""ОН-37/3 стандарт (венге) 15";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003099;"Тумба офісна ""ОН-37/3 стандарт (венге) 16";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003100;"Тумба офісна ""ОН-37/3 стандарт (венге) 17";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003101;"Тумба офісна ""ОН-37/3 стандарт (венге) 18";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003102;"Тумба офісна ""ОН-37/3 стандарт (венге) 19";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003086;"Тумба офісна ""ОН-37/3 стандарт (венге) 2";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003103;"Тумба офісна ""ОН-37/3 стандарт (венге) 20";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003104;"Тумба офісна ""ОН-37/3 стандарт (венге) 21";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003105;"Тумба офісна ""ОН-37/3 стандарт (венге) 22";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003087;"Тумба офісна ""ОН-37/3 стандарт (венге) 3";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003106;"Тумба офісна ""ОН-37/3 стандарт (венге) 4";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003088;"Тумба офісна ""ОН-37/3 стандарт (венге) 5";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003089;"Тумба офісна ""ОН-37/3 стандарт (венге) 6";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003090;"Тумба офісна ""ОН-37/3 стандарт (венге) 7";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003091;"Тумба офісна ""ОН-37/3 стандарт (венге) 8";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦБ-003092;"Тумба офісна ""ОН-37/3 стандарт (венге) 9";9403          ;Товар;632,00;9403          ;Меблі інші та їх частини
ЦДУ-01241;Тура пересувна ВМ8 8,5х2х0,75;;;3 900,42;;
ЦДУ-01242;Тягач електричний Jungheinrich EZS570 с. н. 91554523, бувший у використанні 2011 року випуску;;;30 821,56;;
ЦДУ-01243;Углова шліфмашина Bosch GWS 9-125 S;;;349,43;;
ЦДУ-01244;Углова шліфмашина Bosch GWS 9-125 S;;;349,43;;
ЦДУ-01245;Ультразвукова зварювальна машина для пластику;;;17 917,19;;
ЦДУ-01246;Универсальний фрезерний станок М-3S;;;0,01;;
ЦБ-003429;Універсальна мийка Karcher K 2 Full Control (1.673-400.0);8424300890    ;Импортированный товар;2 682,75;8424300890    ;
ЦДУ-01247;Установка для нагрівання пресс-форм Water Heater SMT- №2;;;0,01;;
ЦДУ-01248;Установка для нагрівання прес-форм Water Heater SMT- №1;;;0,01;;
ЦДУ-01249;Установка для охолодження прес-форм Water Chilter S №1;;;0,01;;
ЦДУ-01250;Установка для охолодження прес-форм Water Chilter S №2;;;0,01;;
