Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00721;Мережевий фільтр і подовжувач APC Essential SurgeArrest 5 outlets 230V Russia (P5B-RS);;;104,73;;
ЦДУ-00722;Миючий пилосос IPC Portotecnica MIRAGE 1629;;;2 916,82;;
ЦДУ-00723;Мікрохвильова піч ERGO EM-2075;;;234,02;;
ЦДУ-00724;Мікрохвильова піч GORENJE MO-20 MW;;;276,14;;
ЦДУ-00725;Мікрохвильова піч GORENJE MO-20 MW / 2;;;292,39;;
ЦБ-003415;Мікрохвильова піч PANASONIC NN-SM221WZPE;8516500000    ;Импортированный товар;1 166,08;8516500000    ;Кавоварки та чайники електричні
ЦДУ-00726;Міксер Forte HM;;;376,03;;
ЦДУ-00727;Міксер TEFAL HT 410138 1;;;137,99;;
ЦБ-003434;Міксер будівельний RZTK MX 1752;8467 29 85 00 ;Импортированный товар;1 399,42;8467 29 85 00 ;Електричні ручні інструменти
ЦДУ-00728;Міксер СТАЛЬ ЕМ 1670- Р3 ( 68393 );;;275,96;;
ЦДУ-00729;Міні MACH JET с порошковим насосом;;;24 261,91;;
ЦДУ-00730;Модем GSM/GPRS;;;0,01;;
ЦДУ-00731;Модем Zyxel ADSL2+з портами Ethernet та USB;;;487,59;;
ЦДУ-00732;Молд для адаптора воздуховода Д120;;;0,01;;
ЦДУ-00733;Молд для аккумуляторов холода;;;0,01;;
ЦДУ-01605;Молд для аккумуляторов холода Kemping 400;8480 71 00 90 ;Импортированный товар;1 794,58;8480 71 00 90 ;Форми для литва під тиском
ЦДУ-01606;Молд для аккумуляторов холода Kemping 400 (1);8480 71 00 90 ;Импортированный товар;1 794,58;8480 71 00 90 ;Форми для литва під тиском
ЦДУ-00734;Молд для виробництва кронштейна панелі освітлення TL1000;;;0,01;;
ЦДУ-00735;Молд для виробництва кронштейна фільтра;;;0,01;;
ЦДУ-00736;Молд для втулки;;;0,01;;
ЦДУ-00737;Молд для пелюстков адаптора воздуховода Д120;;;0,01;;
ЦДУ-00738;Молд для пластикової засувки жирового фільтра;;;1 233,29;;
ЦДУ-00739;молд на ABS заглушку;;;0,01;;
ЦБ-003128;Молд на крыльчатку (WH);7326909890    ;Импортированный товар;6 000,00;7326909890    ;
ЦДУ-00740;Молд на ПП комутаційну кришку ПП корпусу двомоторної витяжки TL;;;0,01;;
ЦДУ-00741;Молд на ПП корпус двомоторної витяжки;;;0,01;;
ЦДУ-00742;Молоток відбійний DEWalt, 30мм, шестигран.патрон,1600Вт, 35Дж.ю 16,9кг+зубило;;;4 237,07;;
ЦДУ-00743;Монітор 1,9 Acer K202HQLb;;;471,72;;
ЦДУ-00744;Монітор 1,9 Acer K202HQLb;;;476,03;;
